관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,위도,경도,데이터기준일자
영천시청,경상북도 영천시 교촌동 왕평길,경상북도 영천시 교촌동 197-2 (태평맨션),생활방범,1,200,360도전방면,30,2016-12-01,054-330-6663,35.9664777,128.9276036,2025-05-28
영천시청,경상북도 영천시 교촌동 왕평길,경상북도 영천시 교촌동 197-2 (태평맨션),생활방범,1,200,정동,30,2018-05-01,054-330-6663,35.9664777,128.9276036,2025-05-28
영천시청,경상북도 영천시 교촌동 왕평길,경상북도 영천시 교촌동 197-2 (태평맨션),생활방범,1,200,정북,30,2018-05-01,054-330-6663,35.9664777,128.9276036,2025-05-28
영천시청,경상북도 영천시 교촌동 왕평길,경상북도 영천시 교촌동 197-2 (태평맨션),생활방범,1,200,남동,30,2018-05-01,054-330-6663,35.9664777,128.9276036,2025-05-28
영천시청,경상북도 영천시 교촌동 왕평길,경상북도 영천시 교촌동 197-2 (태평맨션),생활방범,1,200,북동,30,2018-05-01,054-330-6663,35.9664777,128.9276036,2025-05-28
영천시청,경상북도 영천시 사직단길 6 (교촌동),경상북도 영천시 교촌동 52-8 (오거리),생활방범,1,200,360도전방면,30,2012-06-01,054-330-6663,35.9689985,128.9278449,2025-05-28
영천시청,경상북도 영천시 사직단길 6 (교촌동),경상북도 영천시 교촌동 52-8 (오거리),생활방범,1,200,정동,30,2013-02-01,054-330-6663,35.9689985,128.9278449,2025-05-28
영천시청,경상북도 영천시 사직단길 6 (교촌동),경상북도 영천시 교촌동 52-8 (오거리),생활방범,1,200,정북,30,2013-02-01,054-330-6663,35.9689985,128.9278449,2025-05-28
영천시청,경상북도 영천시 사직단길 6 (교촌동),경상북도 영천시 교촌동 52-8 (오거리),생활방범,1,200,남동,30,2013-02-01,054-330-6663,35.9689985,128.9278449,2025-05-28
영천시청,경상북도 영천시 금노동 금단4길,경상북도 영천시 금노동 542-19 (담안길 공원 앞),생활방범,1,200,360도전방면,30,2019-10-01,054-330-6663,35.9611308,128.9301108,2025-05-28
영천시청,경상북도 영천시 금노동 금단4길,경상북도 영천시 금노동 542-19 (담안길 공원 앞),생활방범,1,200,정북,30,2019-10-01,054-330-6663,35.9611308,128.9301108,2025-05-28
영천시청,경상북도 영천시 금노동 금단4길,경상북도 영천시 금노동 542-19 (담안길 공원 앞),생활방범,1,200,남동,30,2019-10-01,054-330-6663,35.9611308,128.9301108,2025-05-28
영천시청,경상북도 영천시 금호읍 교대리 성천앞길,경상북도 영천시 금호읍 교대리 1-29 (금호여자중포은고등학교),생활방범,1,200,360도전방면,30,2014-12-01,054-330-6663,35.9401864,128.8773702,2025-05-28
영천시청,경상북도 영천시 금호읍 교대리 성천앞길,경상북도 영천시 금호읍 교대리 1-29 (금호여자중포은고등학교),생활방범,1,200,정북,30,2014-12-01,054-330-6663,35.9401864,128.8773702,2025-05-28
영천시청,경상북도 영천시 금호읍 교대리 성천앞길,경상북도 영천시 금호읍 교대리 1-29 (금호여자중포은고등학교),생활방범,1,200,남동,30,2014-12-01,054-330-6663,35.9401864,128.8773702,2025-05-28
영천시청,경상북도 영천시 망정동 창신1길,경상북도 영천시 망정동 534 (창신아파트 입구),생활방범,1,200,360도전방면,30,2018-05-01,054-330-6663,35.9872984,128.9547941,2025-05-28
영천시청,경상북도 영천시 망정동 창신1길,경상북도 영천시 망정동 534 (창신아파트 입구),생활방범,1,200,정동,30,2018-05-01,054-330-6663,35.9872984,128.9547941,2025-05-28
영천시청,경상북도 영천시 망정동 창신1길,경상북도 영천시 망정동 534 (창신아파트 입구),생활방범,1,200,정북,30,2018-05-01,054-330-6663,35.9872984,128.9547941,2025-05-28
영천시청,경상북도 영천시 망정동 창신1길,경상북도 영천시 망정동 534 (창신아파트 입구),생활방범,1,200,남동,30,2018-05-01,054-330-6663,35.9872984,128.9547941,2025-05-28
영천시청,경상북도 영천시 문외동 청산길,경상북도 영천시 문외동 50 (나라빌앞 삼거리),생활방범,1,200,정동,30,2012-06-01,054-330-6663,35.9747853,128.9374028,2025-05-28
영천시청,경상북도 영천시 문외동 청산길,경상북도 영천시 문외동 50 (나라빌앞 삼거리),생활방범,1,200,정북,30,2012-06-01,054-330-6663,35.9747853,128.9374028,2025-05-28
영천시청,경상북도 영천시 문외동 청산길,경상북도 영천시 문외동 50 (나라빌앞 삼거리),생활방범,1,200,남동,30,2012-06-01,054-330-6663,35.9747853,128.9374028,2025-05-28
영천시청,경상북도 영천시 본촌동 영천아이시로,경상북도 영천시 본촌동 697-2,교통단속,1,200,360도전방면,30,2017-06-01,054-330-6663,35.9289668,128.9489903,2025-05-28
영천시청,경상북도 영천시 본촌동 영천아이시로,경상북도 영천시 본촌동 697-2,교통단속,1,200,정동,30,2017-06-01,054-330-6663,35.9289668,128.9489903,2025-05-28
영천시청,경상북도 영천시 본촌동 영천아이시로,경상북도 영천시 본촌동 697-2,교통단속,1,200,정북,30,2017-06-01,054-330-6663,35.9289668,128.9489903,2025-05-28
영천시청,경상북도 영천시 본촌동 영천아이시로,경상북도 영천시 본촌동 697-2,교통단속,1,200,남동,30,2017-06-01,054-330-6663,35.9289668,128.9489903,2025-05-28
영천시청,경상북도 영천시 본촌동 영천아이시로,경상북도 영천시 본촌동 697-3,교통단속,1,200,360도전방면,30,2011-07-01,054-330-6663,35.9287151,128.9493574,2025-05-28
영천시청,경상북도 영천시 본촌동 영천아이시로,경상북도 영천시 본촌동 697-3,교통단속,1,200,정북,30,2011-07-01,054-330-6663,35.9287151,128.9493574,2025-05-28
영천시청,경상북도 영천시 본촌동 영천아이시로,경상북도 영천시 본촌동 697-3,교통단속,1,200,남동,30,2011-07-01,054-330-6663,35.9287151,128.9493574,2025-05-28
영천시청,경상북도 영천시 고경면 단포리 단포구보길,경상북도 영천시 고경면 단포리 187-11 (영천강변체육공원),생활방범,1,200,360도전방면,30,2013-05-01,054-330-6663,35.978481,128.970001,2025-05-28
영천시청,경상북도 영천시 고경면 단포리 단포구보길,경상북도 영천시 고경면 단포리 187-11 (영천강변체육공원),생활방범,1,200,정동,30,2021-06-01,054-330-6663,35.978481,128.970001,2025-05-28
영천시청,경상북도 영천시 고경면 단포리 단포구보길,경상북도 영천시 고경면 단포리 187-11 (영천강변체육공원),생활방범,1,200,정북,30,2021-06-01,054-330-6663,35.978481,128.970001,2025-05-28
영천시청,경상북도 영천시 고경면 단포리 단포구보길,경상북도 영천시 고경면 단포리 187-11 (영천강변체육공원),생활방범,1,200,남동,30,2021-06-01,054-330-6663,35.978481,128.970001,2025-05-28
영천시청,경상북도 영천시 고경면 단포리 단포구보길,경상북도 영천시 고경면 단포리 187-11 (영천강변체육공원),생활방범,1,200,북동,30,2021-06-01,054-330-6663,35.978481,128.970001,2025-05-28
영천시청,경상북도 영천시 고경면 단포리 단포구보길,경상북도 영천시 고경면 단포리 187-11 (영천강변체육공원),생활방범,1,200,정서,30,2021-06-01,054-330-6663,35.978481,128.970001,2025-05-28
영천시청,경상북도 영천시 고경면 단포리 호국로,경상북도 영천시 고경면 단포리 239-4 (단포초교),생활방범,1,200,360도전방면,30,2018-05-01,054-330-6663,35.9797575,128.9746562,2025-05-28
영천시청,경상북도 영천시 고경면 단포리 호국로,경상북도 영천시 고경면 단포리 239-4 (단포초교),생활방범,1,200,북동,30,2018-05-01,054-330-6663,35.9797575,128.9746562,2025-05-28
영천시청,경상북도 영천시 고경면 단포리 호국로,경상북도 영천시 고경면 단포리 239-4 (단포초교),생활방범,1,200,정서,30,2018-05-01,054-330-6663,35.9797575,128.9746562,2025-05-28
영천시청,경상북도 영천시 고경면 창방우길 2,경상북도 영천시 고경면 단포리 48-3 (단포농협 앞),생활방범,1,200,북동,30,2019-08-01,054-330-6663,35.9808584,128.9796006,2025-05-28
영천시청,경상북도 영천시 고경면 창방우길 2,경상북도 영천시 고경면 단포리 48-3 (단포농협 앞),생활방범,1,200,정서,30,2019-08-01,054-330-6663,35.9808584,128.9796006,2025-05-28
영천시청,경상북도 영천시 고경면 대성리 거곡로,경상북도 영천시 고경면 대성리 263-1,생활방범,1,200,360도전방면,30,2017-10-01,054-330-6663,35.9608514,128.9984937,2025-05-28
영천시청,경상북도 영천시 고경면 대성리 거곡로,경상북도 영천시 고경면 대성리 263-1,생활방범,1,200,북동,30,2017-10-01,054-330-6663,35.9608514,128.9984937,2025-05-28
영천시청,경상북도 영천시 고경면 대성리 거곡로,경상북도 영천시 고경면 대성리 263-1,생활방범,1,200,정서,30,2017-10-01,054-330-6663,35.9608514,128.9984937,2025-05-28
영천시청,경상북도 영천시 고경면 덕정리 용담로,경상북도 영천시 고경면 덕정리 143-1,교통단속,1,200,정북,30,2019-03-01,054-330-6663,35.9401514,129.1058196,2025-05-28
영천시청,경상북도 영천시 고경면 덕정리 용담로,경상북도 영천시 고경면 덕정리 143-1,교통단속,1,200,360도전방면,30,2019-03-01,054-330-6663,35.9401514,129.1058196,2025-05-28
영천시청,경상북도 영천시 고경면 덕정리 용담로,경상북도 영천시 고경면 덕정리 143-1,교통단속,1,200,정서,30,2019-03-01,054-330-6663,35.9401514,129.1058196,2025-05-28
영천시청,경상북도 영천시 고경면 호국로 821,경상북도 영천시 고경면 도암리 72-4 (도암주유소 옆 버스정류장),생활방범,1,200,정서,30,2020-06-01,054-330-6663,36.001767,129.019326,2025-05-28
영천시청,경상북도 영천시 고경면 호국로 821,경상북도 영천시 고경면 도암리 72-4 (도암주유소 옆 버스정류장),생활방범,1,200,북동,30,2020-06-01,054-330-6663,36.001767,129.019326,2025-05-28
영천시청,경상북도 영천시 고경면 호국로 821,경상북도 영천시 고경면 도암리 72-4 (도암주유소 옆 버스정류장),생활방범,1,200,정서,30,2020-06-01,054-330-6663,36.001767,129.019326,2025-05-28
영천시청,경상북도 영천시 고경면 호국로 1276,경상북도 영천시 고경면 상덕리 345 (고경초등학교),생활방범,1,200,정동,30,2015-06-01,054-330-6663,36.0032586,129.0682057,2025-05-28
영천시청,경상북도 영천시 고경면 호국로 1276,경상북도 영천시 고경면 상덕리 345 (고경초등학교),생활방범,1,200,정서,30,2015-06-01,054-330-6663,36.0032586,129.0682057,2025-05-28
영천시청,경상북도 영천시 고경면 상덕리 호국로,경상북도 영천시 고경면 상덕리 345-1,교통단속,1,200,정동,30,2018-10-01,054-330-6663,36.0036888,129.0685248,2025-05-28
영천시청,경상북도 영천시 고경면 상덕리 호국로,경상북도 영천시 고경면 상덕리 345-1,교통단속,1,200,정서,30,2018-10-01,054-330-6663,36.0036888,129.0685248,2025-05-28
영천시청,경상북도 영천시 고경면 상리공단길 22,경상북도 영천시 고경면 상리리 600-13 (농공단지 입구),생활방범,1,200,정북,30,2017-06-01,054-330-6663,36.003951,129.029305,2025-05-28
영천시청,경상북도 영천시 고경면 상리공단길 22,경상북도 영천시 고경면 상리리 600-13 (농공단지 입구),생활방범,1,200,정동,30,2017-06-01,054-330-6663,36.003951,129.029305,2025-05-28
영천시청,경상북도 영천시 고경면 상리공단길 22,경상북도 영천시 고경면 상리리 600-13 (농공단지 입구),생활방범,1,200,정서,30,2017-06-01,054-330-6663,36.003951,129.029305,2025-05-28
영천시청,경상북도 영천시 고경면 상리리 배골길,경상북도 영천시 고경면 상리리 776 (상리 교차로),생활방범,1,200,북동,30,2021-06-01,054-330-6663,36.0086777,129.0345225,2025-05-28
영천시청,경상북도 영천시 고경면 상리리 배골길,경상북도 영천시 고경면 상리리 776 (상리 교차로),생활방범,1,200,정서,30,2017-06-01,054-330-6663,36.0086777,129.0345225,2025-05-28
영천시청,경상북도 영천시 고경면 상리리 배골길,경상북도 영천시 고경면 상리리 776 (상리 교차로),생활방범,1,200,정동,30,2017-06-01,054-330-6663,36.0086777,129.0345225,2025-05-28
영천시청,경상북도 영천시 고경면 석계리 상계로,"경상북도 영천시 고경면 석계리 376-61 (삼산리, 석계리 삼거리)",생활방범,1,200,정북,30,2022-09-01,054-330-6663,35.997711,129.090057,2025-05-28
