연번,행정동명,시설명,도로명주소,지번주소,건물층수,위도,경도,관리기관명,담당부서명,관리기관전화번호,데이터기준일자
1,금호읍,교대1리경로당,경상북도 영천시 금호읍 교대2길 9,경상북도 영천시 금호읍 교대리 185-19,2,35.9328553,128.8759029,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
2,금호읍,교대2리경로당,경상북도 영천시 금호읍 교대용대길 7-2,경상북도 영천시 금호읍 교대리 88-1,2,35.9337543,128.8716295,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
3,금호읍,우방타운경로당,경상북도 영천시 금호읍 덕성길 20,경상북도 영천시 금호읍 교대리 410,1,35.9327349,128.869526,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
4,금호읍,덕성리경로당,경상북도 영천시 금호읍 금호로 56-40,경상북도 영천시 금호읍 덕성리 232,2,35.9295355,128.8676315,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
5,금호읍,태성맨션경로당,경상북도 영천시 금호읍 금호로 88(지하사무실),경상북도 영천시 금호읍 덕성리 101-4,1,35.9308584,128.8717562,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
6,금호읍,금호읍분회경로당,경상북도 영천시 금호읍 금호로 102-6,경상북도 영천시 금호읍 덕성리 100-5,1,35.9310387,128.8728652,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
7,금호읍,성천리경로당,경상북도 영천시 금호읍 성천안길 12,경상북도 영천시 금호읍 성천리 252-1,1,35.9446431,128.8723321,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
8,금호읍,대미1리경로당,경상북도 영천시 금호읍 대동마을길 191-4,경상북도 영천시 금호읍 대미리 531-1,1,35.962068,128.8815312,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
9,금호읍,대미2리경로당,경상북도 영천시 금호읍 미동길 5-10,경상북도 영천시 금호읍 대미리 965-2,1,35.9471093,128.8805559,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
10,금호읍,석섬리경로당,경상북도 영천시 금호읍 돌섬2길 80-1,경상북도 영천시 금호읍 석섬리 92,1,35.9514552,128.8913174,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
11,금호읍,원제리경로당,경상북도 영천시 금호읍 원제1길 27,경상북도 영천시 금호읍 원제리 432,1,35.9422922,128.8963528,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
12,금호읍,윤성모닝타운경로당,경상북도 영천시 금호읍 원제2길 16-8,경상북도 영천시 금호읍 원제리 20,2,35.9428316,128.899787,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
13,금호읍,냉천1리경로당,경상북도 영천시 금호읍 거여로 77-3,경상북도 영천시 금호읍 냉천리 225-4,2,35.933176,128.8858704,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
14,금호읍,냉천2리경로당,경상북도 영천시 금호읍 금호로 190-12,경상북도 영천시 금호읍 냉천리 431,2,35.9334542,128.8830963,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
15,금호읍,신월리경로당,경상북도 영천시 금호읍 신월안길 1-1,경상북도 영천시 금호읍 신월리 524-1,2,35.9352211,128.9036372,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
16,금호읍,봉죽1리경로당,경상북도 영천시 금호읍 봉일길 50-3,경상북도 영천시 금호읍 봉죽리 369,2,35.9361286,128.9118719,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
17,금호읍,관정1리경로당,경상북도 영천시 금호읍 관황길 31-1,경상북도 영천시 금호읍 관정리 173-2,1,35.9284497,128.9107942,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
18,금호읍,관정2리경로당,경상북도 영천시 금호읍 관황길 6,경상북도 영천시 금호읍 관정리 261-1,1,35.9287792,128.907981,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
19,금호읍,황정리경로당,경상북도 영천시 금호읍 관황길 49-4,경상북도 영천시 금호읍 황정리 412-1,1,35.9275615,128.9127476,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
20,금호읍,구암리경로당,경상북도 영천시 금호읍 구암길 135-6,경상북도 영천시 금호읍 구암리 1131-2,2,35.9089284,128.9368336,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
21,금호읍,구암리새못밑경로당,경상북도 영천시 금호읍 칠백로 604-6,경상북도 영천시 금호읍 구암리 958-1,1,35.9151625,128.929773,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
22,금호읍,약남1리경로당,경상북도 영천시 금호읍 칠백로 487-15,경상북도 영천시 금호읍 약남리 528,1,35.9052566,128.9271955,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
23,금호읍,약남2리경로당,경상북도 영천시 금호읍 가야길 92,경상북도 영천시 금호읍 약남리 238-3,1,35.9003854,128.9308807,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
24,금호읍,대곡1리경로당,경상북도 영천시 금호읍 대곡길 31-6,경상북도 영천시 금호읍 대곡리 687,1,35.8920444,128.9203092,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
25,금호읍,대곡2리경로당,경상북도 영천시 금호읍 대배길 50,경상북도 영천시 금호읍 대곡리 403-1,1,35.8957585,128.9237196,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
26,금호읍,호남리경로당,경상북도 영천시 금호읍 대승지길 44,경상북도 영천시 금호읍 호남리 200-2,1,35.8993732,128.9151788,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
27,금호읍,어은리경로당,경상북도 영천시 금호읍 어은길 160,경상북도 영천시 금호읍 어은리 202-2,1,35.9177645,128.8990133,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
28,금호읍,오계1리경로당,경상북도 영천시 금호읍 종동길 12-1,경상북도 영천시 금호읍 오계리 259-3,1,35.9056676,128.8896637,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
29,금호읍,오계2리경로당,경상북도 영천시 금호읍 사근달길 75-1,경상북도 영천시 금호읍 오계리 546-2,2,35.9027495,128.8960507,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
30,금호읍,원기리경로당,경상북도 영천시 금호읍 창산길 142-5,경상북도 영천시 금호읍 원기리 395,1,35.9071687,128.8844814,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
31,금호읍,신대리경로당,경상북도 영천시 금호읍 신대길 28,경상북도 영천시 금호읍 신대리 64-1,1,35.9102985,128.868721,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
32,금호읍,남성리경로당,경상북도 영천시 금호읍 남성길 83-4,경상북도 영천시 금호읍 남성리 304-3,1,35.9023031,128.8735787,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
33,금호읍,삼호1리경로당,경상북도 영천시 금호읍 창산길 89,경상북도 영천시 금호읍 삼호리 727-2,1,35.9090028,128.8791973,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
