순번,단지명,회사명,대표자명,공장대표주소(지번),대표업종번호,업종명,전화번호,생산품,용지면적,건축면적,위도,경도
1,,(주)대영공업,유성○,경상북도 영천시 대창면 대창리 1001번지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-335-2555,자동차공구,6024,2281.16,35.87319832,128.89454096
2,,(주)기백산업안전제2공장,허종○,경상북도 영천시 망정동 8-11 외 1필지,13922,어망 및 기타 끈 가공품 제조업,,"안전망, 추락방지망",,493,35.98594382,128.95962050
3,,(재)경북자동차임베디드연구원,송종○,경상북도 영천시 도남동 211 외 3필지,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-336-0060,합성수지 chip,6009.5,1337.5,35.92579183,128.93730274
4,,(주)아름,신동○,경상북도 영천시 대창면 구지리 207-1번지,16299,그 외 기타 나무제품 제조업 외 1 종,054-337-3399,"각종시설물,조경물,인테리어등의 목제품제조, 운동시설물,퍼걸러,조경시설물",19924,3087.36,35.86446863,128.89578621
5,,(주)엘앤피농업회사법인,박은○,경상북도 영천시 대창면 사리리 594-4 외 3필지,27215,기기용 자동측정 및 제어장치 제조업 외 1 종,053-856-0916,"LED조명장치, 제어시스템",1708,536.56,35.87930164,128.86870394
6,,(주)갓바위,이현○,경상북도 영천시 청통면 애련리 385번지,11119,기타 발효주 제조업,054-336-8997,생약주,1630,958.5,36.00032709,128.79680474
7,,(주)강산,이수○,경상북도 영천시 북안면 옥천리 102-7번지,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,054-331-7301,"식생옹벽, 호안블럭",4932,950.63,35.89686221,129.01339002
8,,(주)거성피엔피,변재○,경상북도 영천시 청통면 신학리 631-1번지,22212,플라스틱 필름 제조업 외 1 종,054-336-0479,PP평판시트,3306,1289.48,35.99391772,128.82281211
9,영천화산농공단지,(주)거평그린,윤태○,경상북도 영천시 화산면 유성리 200-2번지 외 1필지,13104,연사 및 가공사 제조업,053-852-5674,인조잔디 연사,12130,6249.5,36.02106178,128.86010069
10,,(주)건우금속,백승○,경상북도 영천시 채신동 658번지,25912,금속 단조제품 제조업,054-336-0117,금속단조부품,8162,2714.61,35.91190975,128.94857630
11,,(주)건우환경,박중○,경상북도 영천시 녹전동  124번지,16300,코르크 및 조물제품 제조업,054-335-3131,해충포집기,3140,1212.4,35.99778502,128.91987842
12,,(주)경림,장근○,경상북도 영천시 금호읍 냉천리 88-4번지 외 1필지,10511,곡물 도정업 외 1 종,054-331-5246,"도정,정미곡물",3811,495,35.92491102,128.88837019
13,,(주)경명그린네트,이언○,경상북도 영천시 화남면 금호리 1056-5 (주)경명그린네트 외 2필지,22299,그 외 기타 플라스틱 제품 제조업,,농업용PE네트,3056,819.45,36.07349163,128.90199560
14,,(주)경보테크,손주○,경상북도 영천시 대창면 사리리 520-3번지 외 1필지,30399,그 외 자동차용 신품 부품 제조업 외 6 종,,스프링,4995,911.54,35.88216093,128.86505960
15,영천북안농공단지,(주)경북제어기술,전기○,경상북도 영천시 북안면 반정리 150 (주)대남,27215,기기용 자동측정 및 제어장치 제조업 외 5 종,054-338-6911,"유량계, 프로세스제어반, 계측기기 등",14171,330,35.93436845,128.99705680
16,,(주)경안플랜트,김주○,경상북도 영천시 청통면 송천리 558-3 번지,25113,육상 금속 골조 구조재 제조업 외 1 종,054-0338-5558,구조용 금속제품,12222,5123.16,35.97276056,128.81430747
17,,(주)경천산업,조정○,경상북도 영천시 금호읍 오계리 56-20번지,24191,"도금, 착색 및 기타 표면처리강재 제조업 외 7 종",054-337-3538,"용융아연도금,기타금속가공품, 가드레일 및 금속제조품, 용융아연도금,기타금속가공품, 가드레일 및 금속제조품, 용융아연도금,기타금속가공품, 가드레일 및 금속제조품, 용융아연도금,기타금속가공품, 가드레일 및 금속제조품, 용융아연도금,기타금속가공품, 가드레일 및 금속제조품, 용융아연도금,기타금속가공품, 가드레일 및 금속제조품, 용융아연도금,기타금속가공품, 가드레일 및 금속제조품, 용융아연도금,기타금속가공품, 가드레일 및 금속제조품",,915.04,35.91454470,128.88941529
18,,(주)계성테크,김진○,경상북도 영천시 채신동 656-9번지,25113,육상 금속 골조 구조재 제조업 외 4 종,054-338-8060,전기자재,3300,914,35.90372024,128.95112001
19,,(주)고경스틸,김용○,경상북도 영천시 고경면 상리리 710번지 외 2필지,24199,그 외 기타 1차 철강 제조업,,"철근가공(절단,절곡)품",,509,36.00510796,129.02590216
20,,(주)골드랜드,조동○,경상북도 영천시 신기동 184번지,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-338-1285,합성수지,3852,1067.38,35.99734761,128.95688124
21,,(주)광신공조,최종○,경상북도 영천시 도남동 512번지 외 1필지,24132,강관 제조업 외 1 종,054-337-3344,"파형강관, 냉난방공조덕트",7127,3636.04,35.92972648,128.93485556
22,,(주)구영테크,이희○,경상북도 영천시 북안면 반계리 산 2번지 외 1필지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-0334-7384,자동차부품,3438,696,35.92655881,129.00919740
23,,(주)구영테크영천제2공장지점,이희○,경상북도 영천시 북안면 반정리 129번지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,053-592-6111,자동차부품(브라켓),6524,4853.86,35.93255005,128.99908301
24,영천북안농공단지,(주)구영테크영천지점,이희○,경상북도 영천시 북안면 반정리 150-7번지,30320,자동차 차체용 신품 부품 제조업 외 1 종,053-592-6111,변속기,8488,5613.37,35.93252756,128.99813730
25,,(주)국제금속,"주영○,임영○",경상북도 영천시 금호읍 오계리 34-3 외 2필지,24213,"연 및 아연 제련, 정련 및 합금 제조업",054-338-6622,연괴,20479,11701.93,35.91588057,128.89175796
26,,(주)그린월드,김석○,경상북도 영천시 도남동 283-2번지 외 3필지,20129,기타 기초 무기 화학물질 제조업,054-333-5933,"염화제1,2철 황산제1,2철",5065,937,35.92510553,128.93677634
27,,(주)그린이앤씨,조동○,경상북도 영천시 도남동 621번지 외 1필지,20129,기타 기초 무기 화학물질 제조업,054-338-3320,"폴리황산제이철,황산알루미늄,황산",1499.1,766.84,35.92638807,128.93632133
28,,(주)그린하니컴,김지○,경상북도 영천시 대창면 사리리 607번지 외 3필지,17109,기타 종이 및 판지 제조업 외 2 종,054-336-8938,종이및판지 ,9575,2903.17,35.87720616,128.87037766
29,영천도남농공단지,(주)극동,이은○,경상북도 영천시 도남동 210-1번지,25113,육상 금속 골조 구조재 제조업 외 3 종,054-334-9192,"알루미늄난간대 휀스 및 차량방호책,메쉬휀스,가드레일,낙석방지책,철구조물",3690.7,1991.06,35.92635846,128.93866148
30,,(주)극동,이은○,경상북도 영천시 도남동 269번지,25112,구조용 금속 판제품 및 공작물 제조업 외 5 종,054-334-9192,메쉬휀스 등,2164,325,35.92546045,128.93927602
31,,(주)극동,이은○,경상북도 영천시 금호읍 구암리 586번지 외 1필지,25122,금속탱크 및 저장용기 제조업 외 5 종,054-334-9192,"금속 창, 합성수지 창, 금속패널, 메쉬헨스 등",1369,820.5,35.92531475,128.93554770
32,,(주)글로벌케이엔,신선○,경상북도 영천시 금호읍 오계리 34-18,25924,절삭가공 및 유사처리업,053-721-6714,"알루미늄 가공품, 금속가공품",,1486.2,35.91560611,128.89068446
33,,(주)금강,"김윤○,양한○",경상북도 영천시 북안면 유하리 435-1번지 외 2필지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-335-0666,자동차조향장치(볼조인트 스터드),2761,980,35.93807535,128.97317533
