연번,업종명,업소명,소재지주소,위도,경도,우편번호
1,집단급식소,영천희망원,경상북도 영천시 한방로 195-6 (작산동),35.94093405,128.9490492,38897
2,집단급식소,북안초등학교급식소,경상북도 영천시 북안면 운북로 1984,35.91479088,129.0104163,38907
3,집단급식소,청통초등학교,경상북도 영천시 청통면 청통초등길 43,35.99525442,128.823608,38869
4,집단급식소,영남대학교영천병원,경상북도 영천시 오수1길 10 (오수동),35.95708746,128.9127824,38840
5,집단급식소,(주)화신,"경상북도 영천시 언하공단1길 14, c동 (언하동)",35.99057718,128.9603131,38828
6,집단급식소,동일금속구내식당,경상북도 영천시 금호읍 금호로 6,35.92812738,128.8618618,38881
7,집단급식소,구영구내식당,경상북도 영천시 북안면 북안공단길 38,35.93277034,128.9976461,38905
8,집단급식소,신녕초등학교,경상북도 영천시 신녕면 큰골길 9,36.04723326,128.7899341,38803
9,집단급식소,자천초등학교,경상북도 영천시 화북면 화북길 75,36.10985652,128.9206917,38813
10,집단급식소,지곡초등학교,경상북도 영천시 화남면 천문로 1597-5,36.06015002,128.8911182,38810
11,집단급식소,임고초등학교,경상북도 영천시 임고면 포은로 501-16,36.02198932,128.9733868,38817
12,집단급식소,고경초등학교,경상북도 영천시 고경면 호국로 1276,36.00271986,129.0675631,38901
13,집단급식소,대창초등학교급식소,경상북도 영천시 대창면 금창로 787,35.86963346,128.9058193,38912
14,집단급식소,(주)삼현,경상북도 영천시 본촌공단1길 13-19 (본촌동),35.91785707,128.9495486,38899
15,집단급식소,영천고등학교,경상북도 영천시 영천고2길 12 (야사동),35.97350446,128.9447494,38860
16,집단급식소,금호초등학교급식소,경상북도 영천시 금호읍 금호로 189-3,35.93441095,128.8814795,38876
17,집단급식소,화산초등학교,경상북도 영천시 화산면 장수로 942-9,36.02021067,128.8545331,38807
18,집단급식소,단포초등학교급식소,경상북도 영천시 고경면 호국로 343,35.98101439,128.9748454,38900
19,집단급식소,나자렛집급식소,경상북도 영천시 화산면 가일길 118,36.0297988,128.8355965,38807
20,집단급식소,마야정신요양원 급식소,경상북도 영천시 북안면 내서로 55-24,35.91004522,129.0163274,38907
21,집단급식소,영천시청,경상북도 영천시 시청로 16 (문외동),35.97330976,128.9385601,38856
22,집단급식소,영천초등학교,경상북도 영천시 천문로 253 (금노동),35.96175685,128.9314278,38886
23,집단급식소,영화초등학교,경상북도 영천시 영화새싹길 22 (화룡동),35.96520806,128.9221999,38839
24,집단급식소,거여초등학교급식소,경상북도 영천시 금호읍 관정1길 31,35.93171994,128.9099082,38875
25,집단급식소,영천중앙초등학교,경상북도 영천시 조양길 71 (문내동),35.97182602,128.9323556,38850
26,집단급식소,영천여자고등학교급식소,경상북도 영천시 최무선로 180 (화룡동),35.96231267,128.9201485,38841
27,집단급식소,(의)고담의료재단 마야병원,경상북도 영천시 북안면 내서로 55-25,35.91088398,129.015197,38907
28,집단급식소,경북영광학교급식소,경상북도 영천시 북안면 신평탑골길 4,35.89307108,129.0145372,38909
29,집단급식소,영천동부초등학교,경상북도 영천시 호국로 209 (조교동),35.97822208,128.9601299,38830
30,집단급식소,금호여자중학교급식소,경상북도 영천시 금호읍 성천앞길 112-53,35.93945199,128.8786429,38873
31,집단급식소,(주)신영,경상북도 영천시 본촌공단길 39 (본촌동),35.91971875,128.9511886,38899
32,집단급식소,영천여자중학교급식소,"경상북도 영천시 상아탑길 28 (교촌동,외 8)",35.9672157,128.9224894,38839
33,집단급식소,영천성남여고급식소,경상북도 영천시 남촌길 17 (도동),35.94928012,128.931802,38896
34,집단급식소,선화여자고등학교급식소,경상북도 영천시 상아탑길 36 (화룡동),35.96798027,128.9226868,38839
35,집단급식소,진양특수강(주)급식소,경상북도 영천시 담뜰길 124-9 (채신동),35.90975274,128.9543042,38899
36,집단급식소,영동중고등학교급식소,경상북도 영천시 안야사길 13 (야사동),35.97778935,128.9465525,38832
37,집단급식소,세왕금속공업(주) 집단급식소,경상북도 영천시 망정1길 209 (망정동),35.98325614,128.951608,38831
