관리번호,인허가일자,조건부허가신고사유,영업상태구분코드,영업상태명,소재지면적,사업장명,업태구분명,도로명전체주소,도로명우편번호,소재지전체주소,소재지우편번호,소재지전화,건물지상층수,건물지하층수,객실수,한실수,양실수,욕실수,좌표정보(X),좌표정보(Y),데이터기준일자,위도,경도
영천시 10-01호,40421,해당없음,영업,영업 중,162.02,행복을나누는집,농어촌민박업,영천시 자양면 별빛로 979,38814,경상북도 영천시 자양면 보현리 1848,38814,054-336-2873,1,0,2,1,1,2,36.1389546,129.0263325,2025-12-11,36.13895460,129.02633250
영천시 14-02호,41718,해당없음,영업,영업 중,138,별빛촌,농어촌민박업,영천시 화북면 별빛로 468,38812,경상북도 영천시 화북면 정각리 1497,38812,000-0000-0000,1,0,3,3,2,5,36.1248668,128.9801027,2025-12-11,36.12486680,128.98010270
영천시 14-04호,41869,해당없음,영업,영업 중,150.48,별이 빛나는 밤,농어촌민박업,영천시 화북면 별빛로 478,38812,경상북도 영천시 화북면 정각리 1488,38812,054-336-3359,1,0,4,2,2,4,36.1254601,128.9804011,2025-12-11,36.12546010,128.98040110
영천시23-11호,42066,해당없음,영업,영업 중,74.89,천문대 별빛정원,농어촌민박업,영천시 화북면 정각길 150,38812,경상북도 영천시 화북면 정각리 19,38812,000-0000-0000,1,0,3,1,2,3,36.1505999,128.9965226,2025-12-11,36.15059990,128.99652260
영천시 15-02호,42145,해당없음,영업,영업 중,99,보현산약초마을,농어촌민박업,영천시 자양면 사곡길 77-22,38814,경상북도 영천시 자양면 보현리 1736-2,38814,054-336-4468,1,0,7,4,3,7,36.1463032,129.0299174,2025-12-11,36.14630320,129.02991740
영천시 17-01호,42832,해당없음,영업,영업 중,97.56,소미즈농가,농어촌민박업,영천시 금호읍 성천앞길 112-28,38873,경상북도 영천시 금호읍 교대리 1-9,38873,000-0000-0000,2,0,2,1,1,2,35.9419067,128.8765447,2025-12-11,35.94190670,128.87654470
영천시 17-06호,43087,해당없음,영업,영업 중,87.66,치산123민박,농어촌민박업,영천시 신녕면 치산관광길 123,38800,경상북도 영천시 신녕면 치산리 500-7,38800,000-0000-0000,1,0,1,0,1,1,36.0592847,128.7190619,2025-12-11,36.05928470,128.71906190
영천시 19-02호,43479,해당없음,영업,영업 중,214.77,성원펜션,농어촌민박업,영천시 신녕면 치산관광길 203,38800,경상북도 영천시 신녕면 치산리 1303,38800,000-0000-0000,2,0,5,3,2,5,36.0538731,128.713523,2025-12-11,36.05387310,128.71352300
영천시 19-05호,43605,해당없음,영업,영업 중,114,치산밸리,농어촌민박업,영천시 신녕면 치산관광길 22,38800,경상북도 영천시 신녕면 부산리 1088-1,38800,000-0000-0000,1,0,3,2,2,4,36.063389,128.728487,2025-12-11,36.06338900,128.72848700
영천시 19-06호,43626,해당없음,영업,영업 중,224.52,황토별,농어촌민박업,영천시 바깥완산길 353,38895,경상북도 영천시 완산동 16-2,38895,000-0000-0000,1,0,5,3,3,6,35.9637282,128.9648239,2025-12-11,35.96372820,128.96482390
영천시 19-07호,43760,해당없음,영업,영업 중,225.75,휘명힐링민박,농어촌민박업,영천시 신녕면 신화로 120,38803,경상북도 영천시 신녕면 화성리 184,38803,000-0000-0000,1,0,6,7,0,6,36.0453302,128.7996016,2025-12-11,36.04533020,128.79960160
영천시 20-02호,43937,해당없음,영업,영업 중,168,일번지민박,농어촌민박업,영천시 화북면 정각길 226,38812,경상북도 영천시 화북면 정각리 1,38812,000-0000-0000,2,0,3,3,0,3,36.1569055,128.9970058,2025-12-11,36.15690550,128.99700580
영천시 20-05호,44118,해당없음,영업,영업 중,168,솔롱고,농어촌민박업,영천시 금호읍 칠백로 446,38883,경상북도 영천시 금호읍 약남리 358-1,38883,054-338-0146,1,0,6,1,5,6,35.9023447,128.9263507,2025-12-11,35.90234470,128.92635070
영천시 21-01호,44215,해당없음,영업,영업 중,217.62,시고로,농어촌민박업,영천시 신녕면 치산안길 11,38800,경상북도 영천시 신녕면 치산리 491,38800,000-0000-0000,3,0,1,0,3,1,36.0588267,128.7177313,2025-12-11,36.05882670,128.71773130
영천시 21-04호,44385,해당없음,영업,영업 중,208.32,강변공원 펜션,농어촌민박업,영천시 임고면 포은로 842-9,38816,경상북도 영천시 임고면 덕연리 168-8,38816,054-335-1000,2,0,7,7,7,14,36.0470471,128.9900376,2025-12-11,36.04704710,128.99003760
영천시 21-06호,44531,해당없음,영업,영업 중,171.34,인연한옥민박,농어촌민박업,영천시 화남면 현고길 59-14,38810,경상북도 영천시 화남면 삼창리 373,38810,000-0000-0000,1,0,3,3,0,3,36.066455,128.8899176,2025-12-11,36.06645500,128.88991760
영천시22-01호,44601,해당없음,영업,영업 중,188.76,강변공원 펜션2,농어촌민박업,영천시 임고면 덕연리 167-2,38816,경상북도 영천시 임고면 덕연리 167-2,38816,000-0000-0000,2,0,4,2,2,4,36.0472626,128.990462,2025-12-11,36.04726260,128.99046200
영천시22-02호,44781,해당없음,영업,영업 중,146.01,치산솔담민박,농어촌민박업,영천시 신녕면 신암길 14,38800,경상북도 영천시 신녕면 치산리 1346,38800,000-0000-0000,1,0,1,1,0,1,36.0476249,128.7126998,2025-12-11,36.04762490,128.71269980
영천시22-03호,44812,해당없음,영업,영업 중,25.5,오르다 보면,농어촌민박업,영천시 화남면 능계1길 26-19,38810,경상북도 영천시 화남면 안천리 595,38810,000-0000-0000,1,0,1,1,0,1,36.0850738,128.8959134,2025-12-11,36.08507380,128.89591340
영천시 22-04호,44880,해당없음,영업,영업 중,112.69,도혜원민박,농어촌민박업,영천시 청통면 계포리 353-17,38867,경상북도 영천시 청통면 계포리 353-17,38867,0507-1380-5185,2,0,2,1,0,0,35.99730557,128.813614,2025-12-11,35.99730557,128.81361400
영천시 23-01호,45040,해당없음,영업,영업 중,86.83,별빛 용계 스테이,농어촌민박업,영천시 화남면 용구길 456,38809,경상북도 영천시 화남면 용계리 345,38809,000-0000-0000,1,0,1,1,0,0,36.12665587,128.8775617,2025-12-11,36.12665587,128.87756170
영천시 23-02호,45050,해당없음,영업,영업 중,94.95,스테이임고,농어촌민박업,영천시 임고면 운주로 911,38820,경상북도 영천시 임고면 사리 971,38820,0507-1396-5528,2,0,1,1,0,1,36.04639347,129.0535151,2025-12-11,36.04639347,129.05351510
영천시 23-03호,45062,해당없음,영업,영업 중,144,별빛담은 호반,농어촌민박업,영천시 화북면 천문로 3013-217,38812,경상북도 영천시 화북면 용소리 350-2,38812,000-0000-0000,2,0,1,1,0,0,36.14037042,128.9407489,2025-12-11,36.14037042,128.94074890
영천시 23-04호,45128,해당없음,영업,영업 중,153.53,카페인 민박,농어촌민박업,영천시 임고면 포은로 453-51번지,38817,경상북도 영천시 임고면 양항리 519,38817,0507-1366-2823,1,0,2,1,0,0,36.0198406,128.9705092,2025-12-11,36.01984060,128.97050920
영천시 23-05호,45128,해당없음,영업,영업 중,149.68,starry club,농어촌민박업,영천시 고경면 단포1안길 29,38900,경상북도 영천시 고경면 단포리 119,38900,0507-1359-1759,1,0,2,1,0,0,35.98184679,128.9766631,2025-12-11,35.98184679,128.97666310
영천시 23-06호,45162,해당없음,영업,영업 중,103.75,차여사네 민박,농어촌민박업,영천시 화북면 법화길 140,38812,경상북도 영천시 화북면 법화리 477-12,38812,000-0000-0000,1,0,1,1,0,0,36.15758983,128.9366205,2025-12-11,36.15758983,128.93662050
영천시 23-07호,45173,해당없음,영업,영업 중,143.14,호시가,농어촌민박업,영천시 대창면 임하길 61-11,38913,경상북도 영천시 대창면 운천리 303,38913,0507-1363-8436,2,0,1,1,0,1,35.8637454,128.9583466,2025-12-11,35.86374540,128.95834660
영천시 23-08호,45174,해당없음,영업,영업 중,199.31,팔공산도선재 게스트하우스,농어촌민박업,영천시 신녕면 신암길 70,38800,경상북도 영천시 신녕면 치산리 1400,38800,0507-1401-4986,1,0,1,1,0,0,36.04357258,128.7096049,2025-12-11,36.04357258,128.70960490
영천시 23-09호,45218,해당없음,영업,영업 중,81.7,잭큐몬티562,농어촌민박업,영천시 천문로 562,38823,경상북도 영천시 오미동 1204-1,38823,000-0000-0000,1,0,1,1,0,0,35.98499394,128.9241937,2025-12-11,35.98499394,128.92419370
영천시 23-10호,45237,해당없음,영업,영업 중,177.13,햇살민박,농어촌민박업,영천시 대창면 정동3길 33,38913,경상북도 영천시 대창면 직천리 361,38913,000-0000-0000,1,0,2,1,0,1,35.87594282,128.9602434,2025-12-11,35.87594282,128.96024340
영천시 23-12호,45259,해당없음,영업,영업 중,120.34,보현민박,농어촌민박업,영천시 화북면 별빛로 302,38813,경상북도 영천시 화북면 횡계리 7,38813,054-335-9990,1,0,3,1,0,0,36.12156478,128.9651741,2025-12-11,36.12156478,128.96517410
영천시 24-01호,45502,해당없음,영업,영업 중,69.47,숲에 머물다,농어촌민박업,영천시 화북면 삼국유사로 1821,38812,경상북도 영천시 화북면 죽전리 951-4,38812,0507-1378-2859,1,0,1,1,0,2,36.158576,128.899954,2025-12-11,36.15857600,128.89995400
영천시 24-02호,45547,해당없음,영업,영업 중,127.56,전원의 낭만,농어촌민박업,영천시 화산면 가래실로 93,38808,경상북도 영천시 화산면 삼부리 29,38808,0507-1313-2768,2,0,2,2,0,2,36.010397,128.882809,2025-12-11,36.01039700,128.88280900
영천시 24-03호,45625,해당없음,영업,영업 중,99,임고댁,농어촌민박업,영천시 임고면 삼매용천길 19,38816,경상북도 영천시 임고면 삼매리 117-2,38816,0507-1409-7767,2,0,2,2,0,3,36.057294,129.008462,2025-12-11,36.05729400,129.00846200
영천시 25-01호,45680,해당없음,영업,영업 중,98.25,소일뜨락,농어촌민박업,영천시 화북면 탑들소일길 194-19,38812,영천시 화북면 탑들소일길 194-19,38812,000-0000-0000,1,1,1,0,1,1,36.150993,128.897563,2025-12-11,36.15099300,128.89756300
영천시 25-02호,45757,해당없음,영업,영업 중,52.41,스테이 별,농어촌민박업,영천시 자양면 배양골길 59,38814,영천시 자양면 배양골길 59,38814,0507-1465-1025,1,2,1,0,1,1,36.136458,129.051088,2025-12-11,36.13645800,129.05108800
영천시 25-03호,45860,해당없음,영업,영업 중,90.92,영천이 흐르는 집,농어촌민박업,영천시 고경면 효자로 167-24,38900,영천시 고경면 효자로 167-24,38900,0507-1320-5338,2,1,2,0,2,2,35.996467,128.984004,2025-12-11,35.99646700,128.98400400
영천시 25-04호,45862,해당없음,영업,영업 중,187.2,편환송 한옥민박,농어촌민박업,영천시 화북면 별빛로 320-1,38813,영천시 화북면 별빛로 320-1,38813,0507-1320-5338,1,1,5,5,0,5,36.122008,128.965918,2025-12-11,36.12200800,128.96591800
영천시 25-05호,45903,해당없음,영업,영업 중,168.48,별담은정원,농어촌민박업,영천시 화북면 별빛로 710-20,38812,영천시 화북면 별빛로 710-20,38812,0507-1320-5338,1,1,2,0,2,1,36.136009,128.997208,2025-12-11,36.13600900,128.99720800
영천시 25-06호,45911,해당없음,영업,영업 중,185.39,자천별당,농어촌민박업,영천시 화북면 자천리 772,38813,영천시 화북면 자천리 772,38813,0507-1320-5338,1,1,1,0,1,1,36.111585,128.92082,2025-12-11,36.11158500,128.92082000
영천시 25-07호,45940,해당없음,영업,영업 중,102.26,한옥민박,농어촌민박업,영천시 청통면 청통로 555,38869,영천시 청통면 청통로 555,38869,000-0000-0000,1,1,1,0,1,1,35.994868,128.816878,2025-12-11,35.99486800,128.81687800
