사업장명,도로명소재지,대표업종,종
효창산업(주),경상북도 영천시 금호읍 고수골길 39,아스콘 제조업,4종
대일골드스톤산업,경상북도 영천시 대창면 용대로 944, ,5종
대신산업(주),경상북도 영천시 화산면 장수로 770-16,전기  가스 및 증기업,4종
(주)정신티앤씨,경상북도 영천시 화남면 구전로 121,기타 제품 제조업,5종
(주)삼안콘크리트,경상북도 영천시 신녕면 신화로 93,그외 기타 콘크리트 제품 제조업,4종
진양특수강(주)2공장,경상북도 영천시 채신1공단길 67 (채신동),기타 금속 가공제품 제조업,3종
하원1급정비공장,경상북도 영천시 금호읍 고수골길 26, ,4종
신녕남강자동차정비공업사,경상북도 영천시 신녕면 장수로 1729,자동차 종합 수리업,4종
세왕금속공업(주),경상북도 영천시 망정1길 209 (망정동),그외 기타 조립금속제품 제조업,4종
(주)동화산업,경상북도 영천시 화산면 화산공단길 20,기타 섬유제품 제조업,5종
(주)사조대림 영천공장,경상북도 영천시 화산면 화산공단길 17,음·식료품 제조업,5종
(주)대금환경,경상북도 영천시 고경면 호국로 1516-81,지정 폐기물 처리업,5종
영천현대서비스,경상북도 영천시 금호읍 금호로 338-32,자동차 종합 수리업,4종
(주)홍창엠앤티,경상북도 영천시 금호읍 어은길 27-63,사료 제조업,4종
(주)화신,경상북도 영천시 언하공단1길 14 (언하동),그 외 자동차용 신품 부품 제조업,4종
대구농산(주)영천지점,경상북도 영천시 금호읍 어은길 47,곡물 도정업,5종
대양케미칼(주),경상북도 영천시 도남공단길 94-13 (봉동),합성섬유 제조업,5종
삼영화섬주식회사,경상북도 영천시 도남공단길 94-13 (봉동),합성섬유 제조업,5종
이니카강재(주),경상북도 영천시 북안면 운북로 1631,금속단조제품 제조업,4종
(주)케이씨피드,경상북도 영천시 금호읍 금호로 320,동물용 사료 및 조제식품 제조업,3종
(주)제일윈도텍스,경상북도 영천시 대창면 선진길 202,기타 섬유제품 제조업,5종
(주)동원산업,경상북도 영천시 고경면 상리공단길 51,합성수지 및 기타 플라스틱물질 제조업,3종
조양곡물(주),경상북도 영천시 포은로 12 (언하동),곡물 도정업,5종
한창수지산업,경상북도 영천시 임고면 삼매용천길 54,플라스틱 제품 제조업,5종
주식회사 대원엔비폴,경상북도 영천시 대창면 선진길 46-15,플라스틱 발포 성형제품 제조업,5종
풍천산업사,경상북도 영천시 금호읍 금호로 338-31,합성수지 및 기타 플라스틱 물질 제조업,5종
