체육시설명,도로명주소,지번주소,위도,경도
그린환경센터 동네체육시설,,경상북도 영천시 완산동 81,35.96289631,128.9639906
영천강변공원 동네체육시설,경상북도 영천시 완산동 1048-3,경상북도 영천시 완산동 1048-3,35.96596488,128.935025
영천공설시장 고객건강증진센터,,경상북도 영천시 완산동 982-3,35.96425164,128.9385857
완산 5통 동네체육시설,,경상북도 영천시 완산동 1269-38,35.96485667,128.9361317
완산10통 동네체육시설,,경상북도 영천시 완산동 1090-13,35.96191839,128.9349883
완산3통 동네체육시설물,경상북도 영천시 완산2길 24(완산동) 완산3통 경로당,경상북도 영천시 완산동 966-17 완산3통 경로당,35.96494345,128.940013
완산8통 동네체육시설,,경상북도 영천시 완산동 907-2,35.9621807,128.9383284
은하맨션 동네체육시설물,,경상북도 영천시 완산동 939-21,35.96007087,128.9407312
도남동 야외운동기구,경상북도 영천시 도남공단3길 96,경상북도 영천시 도남동 193 화신정공 도남동 182,35.93157728,128.9412242
고지2리 동네체육시설,,경상북도 영천시 북안면 고지리 868,35.90960436,129.0215399
용계리 동네체육시설,,경상북도 영천시 북안면 용계리 452,35.87030773,129.0001945
신광2리 야외운동기구,경상북도 영천시 대창면 영지길 111,경상북도 영천시 대창면 신광리 705-1,35.85658388,128.9210379
망정3통 체육시설,,경상북도 영천시 망정동 523-1,35.97695995,128.9511331
대전 1동 마을회관,경상북도 영천시 대전길 121(대전동),경상북도 영천시 대전동 365-1,35.98693486,128.9155664
매양2리 동네체육시설,,경상북도 영천시 신녕면 매양리 262,36.04012459,128.7813181
부산1리 동네체육시설,경상북도 영천시 신녕면 부산직동길 62-11,경상북도 영천시 신녕면 부산리 1128,36.05505746,128.7447935
부산2리 동네체육시설,,경상북도 영천시 신녕면 부산리 668-10,36.06822664,128.7372913
성환산공원,,경상북도 영천시 신녕면 화성리 732-1,36.04701966,128.7881562
연정1리 동네체육시설,,경상북도 영천시 신녕면 연정리 480,36.04781565,128.8133241
