연번,상호명,주소,전화번호,방사선 기기,위도,경도
1,우리동물병원,경상북도 영천시 완산동 994번지 62호,054-331-2848,부,35.9646867,128.9382535
2,성 수의과병원,경상북도 영천시 성내동,054-334-1377,부,35.96426279,128.9249601
3,제일가축병원,경상북도 영천시 완산동 982번지 8호,054-334-3313,부,35.96353892,128.9392452
4,한솔동물병원,경상북도 영천시 문외동 258번지 2호,054-331-0137,여,35.97213005,128.9357707
5,영천축협동물병원,경상북도 영천시 문외동 40번지 29호,054-332-8598,부,35.97188607,128.9401632
6,대관령가축병원,경상북도 영천시 완산동 891번지,054-334-3157,부,35.95973885,128.9395379
7,양수의과병원,경상북도 영천시 야사동 293번지 8호,054-000-0000,부,35.97198754,128.9412432
8,미래연합동물병원,경상북도 영천시 금호읍 교대리,054-335-6708,부,35.93153689,128.8745524
9,영천동물병원,경상북도 영천시 문내동 121번지 2호,054-333-8275,여,35.96837793,128.9335375
10,대운 동물병원,경상북도 영천시 화룡동 282번지 4호,054-331-3375,부,35.96594588,128.9182174
11,경민동물병원,경상북도 영천시 도림동 709번지 1호 외 1필지(709),054-336-6179,부,36.01841712,128.9299148
12,누리동물병원,경상북도 영천시 호국로 15 (문외동),054-333-0275,여,35.97173163,128.9399067
13,알프스동물병원,경상북도 영천시 금호읍 교대리 38번지 3호,054-000-0000,부,35.93363239,128.8705378
14,우진동물병원(출장진료전문병원),경상북도 영천시 성내동 146번지 1호,054-000-0000,부,35.9644055,128.9261739
15,팔공동물병원(출장진료전문),경상북도 영천시 금호읍 교대리 104번지 2호,054-000-0000,부,35.93358816,128.8712946
16,별빛동물병원,경상북도 영천시 북안면 임포리 244번지 범진아파트,054-000-0000,부,35.91826746,129.0111528
17,온누리동물병원,경상북도 영천시 청통면 치일리 8번지 4호,054-000-0000,부,35.99097466,128.8234082
18,한마음동물병원,경상북도 영천시 금호읍 교대리 38번지 3호,054-000-0000,부,35.933611,128.8762619
19,하나동물병원,경상북도 영천시 완산동 985번지 25호,054-000-0000,부,35.96316872,128.9387614
