일련번호,모텔_민박 명칭,전화번호,주소,지역,위도,경도
1,광천온천랜드,054-335-8000,경상북도 영천시 조교동 727번지,시내권,35.97119460,128.95176375
2,남일여인숙,,경상북도 영천시 금완로 89 (완산동),시내권,35.96031014,128.93822720
3,군위여인숙,054-334-3406,경상북도 영천시 완산로 9 (완산동),시내권,35.96085418,128.93874360
4,백두여관,,경상북도 영천시 시장3길 10-5 ,시내권,35.96507581,128.93830371
5,남진여인숙,054-334-2106,경상북도 영천시 금완로 84-1 (완산동),시내권,,
6,충북여인숙,054-334-3262,경상북도 영천시 금완로 94-6 (완산동),시내권,35.95995397,128.93855008
7,영천여인숙,054-334-3575,경상북도 영천시 금완로 46-18 (완산동),시내권,35.96000085,128.93335553
8,안동여인숙,054-334-2417,경상북도 영천시 금완로 91 (완산동),시내권,35.96039993,128.93824931
9,명동여인숙,,경상북도 영천시 시장3길 9 (완산동),시내권,35.96495234,128.93781722
10,고려여인숙,054-334-3340,경상북도 영천시 완산중앙9길 22 (완산동),시내권,35.96265472,128.93858137
11,리젠시모텔,054-332-4800,경상북도 영천시 강변로 50-46 (금노동),시내권,35.96013020,128.92815933
12,청도여관,054-334-3645,경상북도 영천시 역전로 27-1 (완산동),시내권,35.96187314,128.93661979
13,향수장여관,,경상북도 영천시 시장3길 10-5 (완산동),시내권,35.96507581,128.93830371
14,청운장여관,,경상북도 영천시 시장3길 10-9 (완산동),시내권,35.96512559,128.93846468
15,청수장여관,,경상북도 영천시 호국로 40 (야사동),시내권,35.97253420,128.94249863
16,서문장여관,,경상북도 영천시 장수로 2 (교촌동),시내권,35.96324697,128.92333339
17,수정장여관,,경상북도 영천시 운동장로 10 (교촌동),시내권,35.96384633,128.92378911
18,귀빈장여관,054-332-2020,경상북도 영천시 시장2길 36 (완산동),시내권,35.96492590,128.93752624
19,백합모텔,054-333-6500,경상북도 영천시 망정1길 22-6 (망정동),시내권,35.97559009,128.94854175
20,대성여관,054-333-7770,경상북도 영천시 망정2길 11 (망정동),시내권,35.97606934,128.95020240
21,성장여관,054-333-6475,경상북도 영천시 완산중앙6길 9-18 (완산동),시내권,,
22,신녕장여관,,경상북도 영천시 신녕면 장수로 1663-1,신녕면,36.04026469,128.78817506
23,모텔 휴,054-927-1100,경상북도 영천시 완산중앙3길 42 (완산동),시내권,35.96302692,128.93752092
24,상록여관,054-331-4265,경상북도 영천시 완산중앙3길 38 (완산동),시내권,35.96289822,128.93748014
25,동경모텔,054-331-4611,경상북도 영천시 조양공원길 20 (창구동),시내권,,
26,테마모텔,054-338-6616,경상북도 영천시 망정1길 55 (야사동),시내권,35.97736086,128.94873586
27,동화장여관,054-331-1220,"경상북도 영천시 금호읍 금호로 155 (147-1,639-1번지)",금호읍,35.93308627,128.87835251
28,동혜여관,054-331-8948,경상북도 영천시 금호읍 금호로 76 (115-6),금호읍,35.93052161,128.87018502
29,보물섬모텔,054-332-6336,경상북도 영천시 완산중앙7길 12 (완산동),시내권,35.96114935,128.93794592
