구분,업종명,업소명,영업소 주소(도로명),데이터기준일,위도,경도
1,이용업,청통이발관,경상북도 영천시 청통면 금송로 968-2,2026-04-16,35.99097684,128.82340542
2,이용업,영천이용소,경상북도 영천시 고경면 호국로 391,2026-04-16,35.98084316,128.97973053
3,이용업,오거리이용소,경상북도 영천시 역전로 5 (완산동),2026-04-16,35.96305112,128.93467990
4,이용업,유성이용소,경상북도 영천시 서문길 28 (성내동),2026-04-16,35.96425525,128.92518553
5,이용업,향토이용소,경상북도 영천시 장수로 24 (화룡동),2026-04-16,35.96416738,128.92130416
6,이용업,신우이용소,경상북도 영천시 화산면 장수로 573,2026-04-16,36.00178196,128.88476844
7,이용업,부흥이용소,경상북도 영천시 천문로 271 (완산동),2026-04-16,35.96264539,128.93357133
8,이용업,효성이용소,경상북도 영천시 최무선로 213-5 (성내동),2026-04-16,35.96336458,128.92408981
9,이용업,동아이용소,경상북도 영천시 교촌샛길 11-3 (교촌동),2026-04-16,35.96752275,128.92896870
10,이용업,시장이용소,경상북도 영천시 시장3길 5 (완산동),2026-04-16,35.96479510,128.93791429
11,이용업,성남이용소,"경상북도 영천시 영천고2길 9 (야사동,문화상가 B동 205호)",2026-04-16,35.97377818,128.94594649
12,이용업,영진이용소,경상북도 영천시 동문길 94 (문외동),2026-04-16,35.96995919,128.93549748
13,이용업,덕신이용소,경상북도 영천시 동문길 41 (문내동),2026-04-16,35.96995578,128.93254768
14,이용업,우정이용소,경상북도 영천시 금호읍 금호로 149,2026-04-16,35.93260256,128.87772814
15,이용업,서울이용소,"경상북도 영천시 상록4길 1, 바동 1호 (문외동)",2026-04-16,35.97300716,128.93974405
16,이용업,덕성이용소,"경상북도 영천시 충효로 145 (야사동,주공상가2층)",2026-04-16,35.97657387,128.94423730
17,이용업,덕신이용소,경상북도 영천시 화산면 유성길 9,2026-04-16,36.01928347,128.85671636
18,이용업,영천이용원,경상북도 영천시 동문길 8 (창구동),2026-04-16,35.96960901,128.93074211
19,이용업,명주이용소,경상북도 영천시 북안면 운북로 1428-1,2026-04-16,35.87162129,128.99419676
20,이용업,새신녕이용소,경상북도 영천시 신녕면 본관시장길 26-5,2026-04-16,36.04240546,128.78747097
21,이용업,임고이용소,경상북도 영천시 임고면 운주로 1,2026-04-16,36.01662133,128.97465093
