연번,쉘터 ID,정류소ID,법정동명,도로명 주소,지번 주소,온열체어 유무,에어커튼 유무,조명등 유무,공공와이파이 유무,비상벨 유무
1,20220001,357000115,금호읍,경상북도 영천시 금호읍 금호로 69-1,경상북도 영천시 금호읍 덕성리 114-5,Y,Y,Y,N,N
2,20220002,357000116,금호읍,경상북도 영천시 금호읍 금호로 106,경상북도 영천시 금호읍 교대리 166-7,Y,Y,Y,N,N
3,20220003,357000593,금호읍,경상북도 영천시 금호읍 금창로 4,경상북도 영천시 금호읍 교대리 160-17,Y,Y,Y,N,N
4,20220004,357000594,금호읍,경상북도 영천시 금호읍 금창로 52,경상북도 영천시 금호읍 덕성리 17-2,N,N,N,N,N
5,20220005,357000595,금호읍,경상북도 영천시 금호읍 금창로 80,경상북도 영천시 금호읍 덕성리 50-7,N,N,N,N,N
6,20220006,357000596,금호읍,경상북도 영천시 금호읍 금창로 142,경상북도 영천시 금호읍 삼호리 62-2,N,N,N,N,N
7,20220007,357000597,금호읍,,경상북도 영천시 금호읍 오계리 21-2,N,N,N,N,N
8,20220008,357000598,금호읍,,경상북도 영천시 금호읍 원기리 65-1,N,N,N,N,N
9,20220009,357000599,금호읍,,경상북도 영천시 금호읍 원기리 70-2,N,N,N,N,N
10,20220010,357001684,금호읍,경상북도 영천시 금호읍 금창로 294,,N,N,N,N,N
11,20220011,357000601,금호읍,경상북도 영천시 금호읍 금창로 346,경상북도 영천시 금호읍 오계리 402,N,N,N,N,N
12,20220012,357000602,금호읍,경상북도 영천시 금호읍 금창로 408,경상북도 영천시 금호읍 오계리 399-10,N,N,N,N,N
13,20220013,357000603,금호읍,경상북도 영천시 금호읍 금창로 442,경상북도 영천시 금호읍 오계리 882-5,N,N,N,N,N
14,20220014,357000604,대창면,경상북도 영천시 대창면 금창로 474,경상북도 영천시 대창면 병암리 606-4,N,N,N,N,N
15,20220015,357000605,대창면,경상북도 영천시 대창면 금창로 532,경상북도 영천시 대창면 대창리 1071,N,N,N,N,N
16,20220016,357000606,대창면,경상북도 영천시 대창면 금창로 600,경상북도 영천시 대창면 대창리 694-10,Y,N,N,N,N
17,20220017,357000607,대창면,경상북도 영천시 대창면 금창로 672,경상북도 영천시 대창면 대창리 743-3,Y,Y,N,N,N
18,20220018,357000608,대창면,경상북도 영천시 대창면 금창로 706-1,경상북도 영천시 대창면 대재리 862-40,N,N,N,N,N
19,20220019,357000609,대창면,경상북도 영천시 대창면 금창로 792,경상북도 영천시 대창면 조곡리 259-3,N,N,N,N,N
20,20220020,357000610,대창면,경상북도 영천시 대창면 금창로 804,경상북도 영천시 대창면 조곡리 1203,N,N,N,N,N
21,20220021,357000611,대창면,경상북도 영천시 대창면 금창로 848,경상북도 영천시 대창면 조곡리 454-2,N,N,N,N,N
22,20220022,357000612,대창면,,경상북도 영천시 대창면 조곡리 452-2,N,N,N,N,N
23,20220023,357000613,대창면,경상북도 영천시 대창면 금창로 1014,경상북도 영천시 대창면 오길리 877-3,N,N,N,N,N
24,20220024,357000637,대창면,,경상북도 영천시 대창면 오길리 570-2,N,N,N,N,N
25,20220025,357000638,대창면,,경상북도 영천시 대창면 오길리 732-2,N,N,N,N,N
26,20220026,357000639,대창면,경상북도 영천시 대창면 채신길 156,,N,N,N,N,N
27,20220027,357000640,대창면,경상북도 영천시 대창면 채신길 180,,N,N,N,N,N
28,20220028,357000641,대창면,경상북도 영천시 대창면 채신길 155,,N,N,N,N,N
29,20220029,357000642,대창면,,경상북도 영천시 대창면 오길리 728-3,N,N,N,N,N
30,20220030,357000643,대창면,,경상북도 영천시 대창면 오길리 575-1,N,N,N,N,N
31,20220031,357000614,대창면,경상북도 영천시 대창면 금창로 1094,경상북도 영천시 대창면 어방리 676,N,N,N,N,N
32,20220032,357000615,대창면,경상북도 영천시 대창면 금창로 1122,경상북도 영천시 대창면 어방리 147-2,N,N,N,N,N
33,20220033,357000616,대창면,경상북도 영천시 대창면 금창로 1192,경상북도 영천시 대창면 운천리 828-4,N,N,N,N,N
34,20220034,357000617,대창면,경상북도 영천시 대창면 금창로 1234,경상북도 영천시 대창면 운천리 596-3,N,N,N,N,N
35,20220035,357000618,대창면,경상북도 영천시 대창면 금창로 1274,경상북도 영천시 대창면 운천리 380-4,N,N,N,N,N
36,20220036,357000619,대창면,경상북도 영천시 대창면 금창로 1314,경상북도 영천시 대창면 운천리 1129,N,N,Y,N,N
37,20220037,357000620,대창면,,경상북도 영천시 대창면 직천리562,N,N,N,N,N
38,20220038,357001668,대창면,,경상북도 영천시 대창면 직천리 119-3,N,N,N,N,N
39,20220039,357001756,대창면,경상북도 영천시 대창면 하이브리드길 105,,N,N,N,N,N
40,20220040,357000627,대창면,경상북도 영천시 대창면 하이브리드길 105,,N,N,N,N,N
41,20220041,357001667,대창면,,경상북도 영천시 대창면 직천리 198-1,N,N,N,N,N
42,20220042,357000629,대창면,경상북도 영천시 대창면 금창로 1377,경상북도 영천시 대창면 직천리 542,N,N,N,N,N
43,20220043,357000630,대창면,경상북도 영천시 대창면 금창로 1315,경상북도 영천시 대창면 운천리 329-1,N,N,N,N,N
44,20220044,357000631,대창면,경상북도 영천시 대창면 금창로 1273,경상북도 영천시 대창면 운천리 483-3,N,N,N,N,N
45,20220045,357001487,대창면,,경상북도 영천시 대창면 용전리 146-1,N,N,N,N,N
