명칭,주소,전화번호,위치 안내,위도,경도
금호보건지소,경상북도 영천시 금호읍 교대8길 13,054-339-8300,읍사무소 정문 좌측 5m지점,35.93436009,128.8785864
청통보건지소,경상북도 영천시 청통면 청통초등길 11,054-339-8310,면사무소 건물 좌측지점,35.9920291,128.8234192
신녕보건지소,경상북도 영천시 신녕면 신화로 26,054-339-8320,면사무소 정문 좌측 5m지점,36.04521261,128.7902024
화산보건지소,경상북도 영천시 화산면 연지길 14,054-339-8330,면사무소 건물 우측지점,36.02023265,128.8527139
화북보건지소,경상북도 영천시 화북면 화북길 93,054-339-8340,면사무소 건물 우측지점,36.10806124,128.9197488
화남보건지소,경상북도 영천시 화남면 신화로 1193,054-339-8350,면사무소 건물 좌측지점,36.05867954,128.8888817
자양보건지소,경상북도 영천시 자양면 포은로 1625-10,054-339-8345,면사무소 건물 뒤편,36.07891743,129.0184103
임고보건지소,경상북도 영천시 임고면 포은로 491,054-339-8360,면사무소 건물 입구,36.02049866,128.9738234
고경보건지소,경상북도 영천시 고경면 호국로 1065-20,054-339-8370,면사무소 건물 우측지점,36.00173583,129.0462983
북안보건지소,경상북도 영천시 북안면 운북로 2051,054-339-8380,복지회관 우측지점,35.92001592,129.0074912
대창보건지소,경상북도 영천시 대창면 금박로 1057-7,054-339-8391,면사무소 건물 좌측지점,35.8757557,128.8946931
호남보건진료소,경상북도 영천시 금호읍 호남안길 42,054-330-6787,금창교 건너 500m 지점에서 좌측 지방도로 2㎞지점,35.89726384,128.9157717
우천보건진료소,경상북도 영천시 청통면 청통로 236,054-330-6788,삼부삼거리에서 은해사방면 1㎞지점,35.98813285,128.8672172
부산보건진료소,경상북도 영천시 신녕면 치산효령로 578-14,054-330-6789,부산리 농협 우측에서 500m지점,36.06485355,128.7332635
암기보건진료소,경상북도 영천시 화산면 가내실로 194,054-330-6790,삼부삼거리지나(신녕방면)약 100m 지점에서 우측으로 2km지점,36.03057703,128.8568311
상송보건진료소,경상북도 영천시 화북면 상송안길 34-13,054-330-6791,면소재지에서 청송방면 약 4km지점,36.15240537,128.9159665
안천보건진료소,경상북도 영천시 화남면 능계1길 26-5,054-330-6792,면소재지에서 청송방면 2㎞지점에서 좌측(신안물탕) 약 2km지점,36.0846053,128.8954473
보현보건진료소,경상북도 영천시 자양면 별빛로 1126,054-330-6793,충효삼거리에서 천문대방면 약 3㎞지점,36.13423988,129.0410685
평천보건진료소,경상북도 영천시 임고면 평천다산길11,054-330-6794,면소재지에서 자양댐방면 약 1㎞지점,36.04085929,128.9836402
사리보건진료소,경상북도 영천시 임고면 운주로 915,054-330-6795,면소재지에서 수성방면 약 4㎞지점,36.04651758,129.0537499
파계보건진료소,경상북도 영천시 고경면 용담로 1807,054-330-6796,면소재지에서 포항방면 약 5㎞지점에서 우측(황수탕)으로 약 2㎞지점,35.96076171,129.1106424
삼포보건진료소,경상북도 영천시 고경면 상계로 278,054-330-6797,면소재지에서 포항방면 약 3㎞지점에서 좌측으로 2Km 지점,36.01443975,129.1039746
명주보건진료소,경상북도 영천시 북안면 운북로 1445,054-330-6798,면소재지에서 경주방면 약 1km 지점에서 우측으로 약 3㎞지점,35.87308376,128.9947701
운천보건진료소,경상북도 영천시 대창면 금창로 1188,054-330-6799,면소재지에서 북안 명주방면 약4㎞지점,35.86433141,128.9446901
