구분,용도지역,공정표 관리번호,행정동,법정동,빈집판정일자,등급산정일자,빈집점수,등급판정결과
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,조교동,2023-05-15,2023-05-10,45,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,조교동,2023-05-10,2023-05-10,57,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,조교동,2023-05-10,2023-05-10,60,3등급
도시,제1종일반주거지역,경북_영천시_2022_01(도시),동부동,조교동,2023-05-12,2023-05-12,61,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,망정동,2023-05-15,2023-05-11,28,1등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,망정동,2023-05-12,2023-05-12,45,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,망정동,2023-05-15,2023-05-11,62,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,망정동,2023-05-15,2023-05-11,62,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,망정동,2023-05-11,2023-05-11,45,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,망정동,2023-05-11,2023-05-11,45,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,망정동,2023-05-15,2023-05-11,46,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,망정동,2023-05-15,2023-05-15,35,2등급
농어촌,자연녹지지역,경북_영천시_2022_01(비도시),동부동,망정동,2023-04-20,,66,일반빈집
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,망정동,2023-05-15,2023-05-11,41,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,망정동,2023-05-15,2023-05-11,39,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,야사동,2023-05-12,2023-05-12,45,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,야사동,2023-05-12,2023-05-12,60,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,야사동,2023-05-12,2023-05-12,41,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,야사동,2023-05-12,2023-05-12,42,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,야사동,2023-05-12,2023-05-12,34,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,야사동,2023-05-12,2023-05-12,35,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,야사동,2023-05-12,2023-05-12,46,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,야사동,2023-05-12,2023-05-12,46,2등급
도시,제1종일반주거지역,경북_영천시_2022_01(도시),동부동,야사동,2023-05-12,2023-05-12,36,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),동부동,야사동,2023-05-12,2023-05-12,62,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문내동,2023-05-11,2023-05-11,45,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문내동,2023-05-11,2023-05-11,78,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문내동,2023-05-11,2023-05-11,54,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문내동,2023-05-11,2023-05-11,60,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문내동,2023-05-11,2023-05-11,93,4등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문내동,2023-05-09,2023-05-09,33,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문내동,2023-05-09,2023-05-09,27,1등급
도시,일반상업지역,경북_영천시_2022_01(도시),중앙동,문내동,2023-05-11,2023-05-11,61,3등급
도시,일반상업지역,경북_영천시_2022_01(도시),중앙동,문내동,2023-05-11,2023-05-11,50,2등급
도시,일반상업지역,경북_영천시_2022_01(도시),중앙동,문내동,2023-05-11,2023-05-11,82,4등급
도시,일반상업지역,경북_영천시_2022_01(도시),중앙동,문내동,2023-05-11,2023-05-11,95,4등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문외동,2023-05-15,2023-05-10,62,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문외동,2023-05-10,2023-05-10,46,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문외동,2023-05-10,2023-05-10,65,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문외동,2023-05-15,2023-05-10,39,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문외동,2023-05-10,2023-05-10,51,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,문외동,2023-05-12,2023-05-12,45,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,창구동,2023-05-10,2023-05-10,53,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,창구동,2023-05-10,2023-05-10,61,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),중앙동,창구동,2023-05-10,2023-05-10,100,4등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),서부동,교촌동,2023-05-11,2023-05-11,77,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),서부동,교촌동,2023-05-11,2023-05-11,88,4등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),서부동,교촌동,2023-05-11,2023-05-11,49,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),서부동,교촌동,2023-05-11,2023-05-11,64,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),서부동,교촌동,2023-05-11,2023-05-11,41,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),서부동,교촌동,2023-05-11,2023-05-11,47,2등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),서부동,교촌동,2023-05-11,2023-05-11,100,4등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),서부동,교촌동,2023-05-11,2023-05-11,96,4등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),서부동,교촌동,2023-05-11,2023-05-11,60,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),서부동,교촌동,2023-05-11,2023-05-11,60,3등급
도시,제2종일반주거지역,경북_영천시_2022_01(도시),서부동,교촌동,2023-05-10,2023-05-10,54,2등급
