일자,주소(지번),원인,피해면적(ha),데이터 기준일자
2014-01-31,경상북도 영천시 자양면 성곡리 산135,성묘객실화,0.6,2026-04-22
2014-02-05,경상북도 영천시 화남면 귀호리 산29,쓰레기소각,0.05,2026-04-22
2014-03-11,경상북도 영천시 임고면 선원리 산11,쓰레기소각,0.18,2026-04-22
2014-04-15,경상북도 영천시 청통면 애련리 산31,농산폐기물소각,0.5,2026-04-22
2014-05-22,경상북도 영천시 화산면 효정리 임922,폐비닐소각,0.2,2026-04-22
2015-01-10,경상북도 영천시 임고면 삼매리 산24-1,화목보일러소각잔재물재투기,2.2,2026-04-22
2015-04-22,경상북도 영천시 신녕면 화남리 산105-10,입산자실화추정,0.01,2026-04-22
2015-06-10,경상북도 영천시 도림동 890-1,쓰레기소각,0.1,2026-04-22
2016-02-08,경상북도 영천시 북안면 자포리 산24-1,성묘객실화,0.2,2026-04-22
2016-03-17,경상북도 영천시 청통면 신덕리 산203,농산폐기물소각,0.05,2026-04-22
2016-08-27,경상북도 영천시 화산면 부계리 산55,성묘객실화,0.1,2026-04-22
2017-03-11,경상북도 영천시 화남면 죽곡리 산167,"논,밭두렁태우기",1.5,2026-04-22
2017-06-11,경상북도 영천시 금호읍 대미리 산3,성묘객실화,0.15,2026-04-22
2017-11-23,경상북도 영천시 화남면 월곡리 산125,입산자실화추정,0.8,2026-04-22
2017-12-16,경상북도 영천시 고경면 논실리 산34 외,성묘객실화,1,2026-04-22
2018-02-01,경상북도 영천시 화남면 죽곡리 산106,건축물실화,0.2,2026-04-22
2018-02-11,경상북도 영천시 고경면 청정리 산34 외,건축물실화,1,2026-04-22
2018-02-17,경상북도 영천시 화산면 효정리 산3,원인미상,1,2026-04-22
2018-02-19,경상북도 영천시 화남면 월곡리 산54,쓰레기태우기,0.2,2026-04-22
2018-03-27,경상북도 영천시 대전동 산28,"논,밭두렁태우기",0.01,2026-04-22
2018-04-19,경상북도 영천시 청통면 보성리 산49,농산폐기물소각,0.2,2026-04-22
2018-11-29,경상북도 영천시 화남면 귀호리 산156,쓰레기태우기,0.1,2026-04-22
2019-01-01,경상북도 영천시 녹전동 산24-1,입산자실화추정,0.04,2026-04-22
2019-02-09,경상북도 영천시 고경면 대의리 산46-2,건축물실화,0.1,2026-04-22
2019-03-03,경상북도 영천시 효정리 산 109-3,"논,밭두렁태우기",0.03,2026-04-22
2019-04-05,경상북도 영천시 북안면 용계리 산52,성묘객실화,0.1,2026-04-22
2019-04-06,경상북도 영천시 화산면 화산리 산136,성묘객실화,0.1,2026-04-22
2019-04-06,경상북도 영천시 자양면 신방리 산79,성묘객실화,2,2026-04-22
2019-04-06,경상북도 영천시 신녕면 치산리 산41,입산자실화추정,0.5,2026-04-22
2020-11-14,경상북도 영천시 신녕면 화서리 산71,군사훈련,0.3,2026-04-22
2021-01-14,경상북도 영천시 신녕면 연정리 산93-5,원인미상,0.2,2026-04-22
2021-01-16,경상북도 영천시 화산면 화산리 산65,원인미상,0.4,2026-04-22
2021-03-26,경상북도 영천시 고경면 칠전리 산38,기타(아궁이재처리부주의),0.6,2026-04-22
2021-04-07,경상북도 영천시 고경면 칠전리 산49,성묘객실화,0.06,2026-04-22
2022-02-02,경상북도 영천시 자양면 도일리 산13-1,화목보일러재투기,0.1,2026-04-22
2022-02-23,경상북도 영천시 북안면 유상리 산28-1,화목보일러재투기,0.1,2026-04-22
2022-02-27,경상북도 영천시 화남면 대천리 산23,농산폐기물소각,0.2,2026-04-22
2022-03-03,경상북도 영천시 청통면 신덕리 산70,담뱃불실화,0.2,2026-04-22
2022-06-21,경상북도 영천시 화남면 안천리 산109-3,담뱃불실화,0.2,2026-04-22
2022-12-30,경상북도 영천시 대창면 용호리 산2-45,건축물실화,1.3,2026-04-22
2023-01-27,경상북도 영천시 고경면 대의리 산15-5,기타(아궁이재처리부주의),0.5,2026-04-22
2023-02-26,경상북도 영천시 화남면 죽곡리 산220,담뱃불실화,2,2026-04-22
2023-02-28,경상북도 영천시 화남면 월곡리 산9,산업현장실화,51,2026-04-22
2023-03-19,경상북도 영천시 청통면 죽정리 산32-1,건축물실화,1.5,2026-04-22
2024-01-12,경상북도 영천시 고경면 삼포리 산113-2,건축물실화,0.1,2026-04-22
2024-04-13,경상북도 영천시 임고면 수성리 산111,입산자실화추정,0.05,2026-04-22
2024-06-17,경상북도 영천시 신녕면 화서리 산69-7,기상적산불,0.01,2026-04-22
2024-12-14,경상북도 영천시 대창면 구지리 산141,농산폐기물소각,0.05,2026-04-22
2025-01-04,경상북도 영천시 화남면 귀호리 산114,건축물실화,0.3,2026-04-22
2025-02-09,경상북도 영천시 고경면 오류리 산37,화목보일러재처리부주의,0.33,2026-04-22
