연번,시군명,사업장명,사업장 소재지,주요품목,위도,경도
1,영천시,과미유통영농조합법인,경상북도 영천시 임고면 평천리 355-10,포도,36.04316401,128.98822635
2,영천시,청우영농조합법인,경상북도 영천시 청통면 청통초등길  8번지,저장양파,35.99184910,128.82434903
3,영천시,동산영농조합법인,경상북도 영천시 금호읍 거여로  140,사과,35.93219599,128.89249081
4,영천시,삼진영농조합법인,경상북도 영천시 신녕면 관기길  222,저장양파,,
5,영천시,영천친환경농업영농조합법인,경상북도 영천시 화남면 신선로  10-17,사과,36.02903479,128.93274820
6,영천시,천지유통영농조합법인,경상북도 영천시 금호읍 가라골1길  72-4,복숭아,35.92229611,128.86254416
7,영천시,화성영농조합법인,경상북도 영천시 임고면 덕연길 36,감자,36.04992064,128.98885477
8,영천시,영천유기촌영농조합법인,경상북도 영천시 청통면 청통로  127번지,마늘,35.99292777,128.87599891
9,영천시,영천화남농협,경상북도 영천시 화남면 천문로 1587,포도,36.05906474,128.89138153
10,영천시,대구경북능금농협,경상북도 영천시 화남면 천문로 1669,사과,36.06544599,128.89611520
11,영천시,금호농협,경상북도 영천시 금호읍 금창로 74,복숭아,35.92491006,128.87646876
