대지위치,허가일,사용승인일,주용도,부속용도,세대수,호수,가구수,위도,경도
경상북도 영천시 신녕면 완전리 829-2,2023-05-08,2024-03-26,단독주택,다가구주택,,,12,36.04253391,128.79317496
경상북도 영천시 문내동 3-11,2022-05-10,2024-12-13,단독주택,다가구,,,15,35.97388244,128.92986512
경상북도 영천시 금호읍 교대리 180-17 외2필지,2021-07-23,2022-04-28,단독주택,다가구주택,,,12,35.93211110,128.87564020
경상북도 영천시 본촌동 349 외1필지,2021-06-01,2022-03-18,단독주택,,1,,,35.92059407,128.95679278
경상북도 영천시 금호읍 관정리 242,2021-01-04,2021-12-21,단독주택,단독주택,1,,,35.93016654,128.91053533
경상북도 영천시 완산동 906-4,2019-10-25,2021-01-27,단독주택,,1,,,35.96234085,128.93809065
경상북도 영천시 금호읍 교대리 11-21 외2필지,2019-07-12,2021-05-14,단독주택,"단독주택,축사",1,,,35.93876309,128.87055604
경상북도 영천시 조교동 371,2018-08-10,2018-12-31,단독주택,1종근생(소매점),1,,,35.97743345,128.96337898
경상북도 영천시 신녕면 완전리 852-203,2018-07-18,2019-12-20,단독주택,,,,11,36.03900895,128.78941482
경상북도 영천시 청통면 송천리 483-5 외3필지,2018-05-28,2019-03-13,단독주택,다가구주택(15가구),,,15,35.97024003,128.81989191
경상북도 영천시 청통면 애련리 211-9,2018-05-16,2019-06-21,단독주택,다가두주택 및 제2종근린생활시설(사무소),,,10,,
경상북도 영천시 야사동 158-3,2018-04-12,2018-11-23,단독주택,다가구주택,0,,10,35.97502786,128.94474944
경상북도 영천시 청통면 애련리 211-7,2018-03-23,2019-06-21,단독주택,다가구주택(15가구),,,15,35.99828597,128.80608862
경상북도 영천시 자양면 보현리 산 194-9,2018-02-05,2021-06-15,단독주택,"다중주택,다가구주택",,,15,36.13205581,129.02206365
경상북도 영천시 오수동 94-3,2018-01-22,2018-09-04,단독주택,다가구주택,,,8,35.95954115,128.91480291
경상북도 영천시 금호읍 원제리 519,2018-01-22,2018-09-14,단독주택,다가구주택,,,9,35.94183365,128.89871874
경상북도 영천시 금호읍 원제리 519-8,2018-01-22,2018-09-14,단독주택,다가구주택,,,8,35.94192445,128.89894346
경상북도 영천시 금호읍 원제리 519-6,2018-01-22,2018-09-14,단독주택,다가구주택,,,16,35.94167238,128.89883937
경상북도 영천시 금호읍 원제리 519-7,2018-01-22,2018-09-13,단독주택,다가구주택,,,16,35.94172526,128.89904975
경상북도 영천시 오수동 94-1,2018-01-18,2018-08-28,단독주택,다가구주택,,,8,35.95940151,128.91486236
경상북도 영천시 오수동 97-5,2018-01-15,2018-08-28,단독주택,다가구주택,,,12,35.95890620,128.91508238
경상북도 영천시 오수동 97,2018-01-05,2018-08-21,단독주택,다가구주택,,,12,35.95870135,128.91517275
경상북도 영천시 조교동 712-2,2017-11-28,2018-07-17,단독주택,다가구주택,,,18,35.97310966,128.95245247
경상북도 영천시 교촌동 272-16 외1필지,2017-08-11,2018-03-28,단독주택,(다가구주택),,,9,35.96626378,128.92400979
경상북도 영천시 교촌동 272-17,2017-08-11,2018-05-11,단독주택,다가구주택,,,9,35.96624490,128.92366327
