연번,읍면동,기초생계급여,기초의료급여,기초주거급여,기초교육급여,총인원,데이터기준일자
1,금호읍,687,618,839,67,900,2025-05-14
2,청통면,147,120,168,19,188,2025-05-14
3,화산면,176,111,160,13,233,2025-05-14
4,화북면,117,77,97,6,138,2025-05-14
5,화남면,145,123,157,8,183,2025-05-14
6,자양면,55,49,55,7,76,2025-05-14
7,임고면,174,117,140,16,210,2025-05-14
8,고경면,237,183,299,27,335,2025-05-14
9,북안면,344,263,338,8,420,2025-05-14
10,대창면,115,100,142,9,173,2025-05-14
11,신녕면,210,173,245,20,273,2025-05-14
12,동부동,1654,1504,2370,317,2465,2025-05-14
13,중앙동,434,382,725,137,774,2025-05-14
14,완산동,351,284,434,72,479,2025-05-14
15,서부동,397,340,527,46,559,2025-05-14
16,남부동,282,248,285,56,354,2025-05-14
