연번,기관명,소재지,연락처,홈페이지바로가기,위도,경도
1,(사)대한노인회 영천시지회취업지원센터,경상북도 영천시 중앙동2길 86 영천시종합복지센터 3층,054-333-4779,,35.97421580,128.93219740
2,영천지역자활센터,경상북도 영천시 중앙동2길 86 영천시종합복지센터내 1층,054-337-1919,www.ycjahwal.or.kr/,35.97421580,128.93219740
3,영천시니어클럽,경상북도 영천시 완산중앙9길 7 (완산동),054-706-7114,www.ycsc.kr/,35.96305398,128.93785244
4,영천상공회의소,경상북도 영천시 금완로 63 (완산동) 3층,054-335-6000,yeongcheoncci.korcham.net/front/user/main.do,35.96070286,128.93543738
5,영천시 가족센터,경상북도 영천시 운동장로 41(교촌동) 3층,054-334-2882,yeongcheon.familynet.or.kr/center/index.do,35.96643079,128.92349926
6,영천고용복지센터,경상북도 영천시 금완로 63(완산동) 2층,054-778-2591,www.work.go.kr/yeongcheon/,35.96070286,128.93543738
7,고용24(고용노동부 고용정보시스템),,1350,www.work24.go.kr,,
8,"경산고용복지플러스센터(경산,영천,청도)","경상북도 경산시 중앙로 85, 3층 (대구은행 경산영업부)",053-667-6800,www.work.go.kr/gyeongsan/main.do,,
9,고용노동부 대구고용노동청,대구광역시 수성구 동대구로 231 (범어동 743번지),053-667-6200,www.moel.go.kr/local/daegu/index.do,,
10,영천여성새로일하기센터(평생학습관),경상북도 영천시 최무선로 243 (성내동) 평생학습관 3층,054-339-7765,www.yc.go.kr/saeil/,35.96528778,128.92654732
11,영천시취업지원센터(경북경영자총협회),경상북도 영천시 보목2길 11 근로자복지회관 1층,054-333-0914,www.ycjob.or.kr/,35.97127544,128.94199750
