회사명,소재지,대표업종,업종명,전화번호,팩스번호,종업원수,위도,경도
현준정공,경상북도 영천시 청통면,29293,주형 및 금형 제조업,053-583-400,053-583-5095,13,36.00912727,128.83399563
삼송식품,경상북도 영천시 금호읍,10701,도시락류 제조업 외 1 종,054-332-806,,5,35.92147076,128.90702383
남해화학(주) 영천공장,경상북도 영천시 북안면,20313,유기질 비료 및 상토 제조업,02-360-9362,02-360-9369,2,35.91641673,129.03259025
팩프랜드,경상북도 영천시 도남동,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",02-408-7997,02-408-7996,4,35.93673831,128.93883558
주식회사 터프코리아,경상북도 영천시 화남면,22299,그 외 기타 플라스틱 제품 제조업,02-419-6376,02-419-5070,2,36.11080064,128.86520597
한국특수인삼(주),경상북도 영천시 청통면,11209,기타 비알코올 음료 제조업,02-764-1389,054-336-5802,2,36.00912727,128.83399563
주식회사 경안테크,경상북도 영천시 금호읍,25112,구조용 금속 판제품 및 공작물 제조업 외 6 종,031-2853-2058,031-212-8685,13,35.92147076,128.90702383
(주)성욱,경상북도 영천시 채신동,25922,도금업,031-499-2021,,3,35.91357661,128.95987383
주식회사 탑베이스,경상북도 영천시 대창면,22299,그 외 기타 플라스틱 제품 제조업 외 1 종,031-523-4028,031-624-6247,5,35.88851007,128.88750399
(주)유니스포텍,경상북도 영천시 화남면,22299,그 외 기타 플라스틱 제품 제조업,031-527-5080,0504-287-8878,5,36.11080064,128.86520597
신성에프엔비(주) 영천지사,경상북도 영천시 오미동,10892,차류 가공업,031-942-4142,031-942-4192,5,36.01556744,128.94930142
(주)예림키친,경상북도 영천시 청통면,32021,주방용 및 음식점용 목재가구 제조업 외 2 종,032-585-2150,032-574-0388,17,36.00912727,128.83399563
(주)예림키친,경상북도 영천시 청통면,16211,"박판, 합판 및 유사 적층판 제조업 외 1 종",032-585-2150,032-574-0388,0,36.00912727,128.83399563
(주)제이씨그린에너지,경상북도 영천시 도남동,35114,태양력 발전업,032-719-7998,,0,35.93673831,128.93883558
유티씨우주산업(주),경상북도 영천시 청통면,29192,분사기 및 소화기 제조업,032-812-3689,032-812-3680,8,36.00912727,128.83399563
(주)동서산업롤,경상북도 영천시 화남면,29199,그 외 기타 일반목적용 기계 제조업 외 1 종,041-552-0907,041-552-6782,3,36.11080064,128.86520597
(주)전일산업,경상북도 영천시 금호읍,25112,구조용 금속 판제품 및 공작물 제조업 외 8 종,041-558-8681,041-558-8682,5,35.92147076,128.90702383
(주)옻향,경상북도 영천시 대창면,20112,바이오매스계 기초 화학물질 제조업 외 5 종,050-5300-9960,0303-3130-9960,2,35.88851007,128.88750399
필드터프승목(주),경상북도 영천시 화남면,22299,그 외 기타 플라스틱 제품 제조업,052-257-1989,052-257-1990,11,36.11080064,128.86520597
디에스글로벌주식회사,경상북도 영천시 봉동,10709,기타 식사용 가공처리 조리식품 제조업,052-275-1515,052-275-8080,27,35.93504793,128.96542779
푸른이엔지,경상북도 영천시 녹전동,25113,육상 금속 골조 구조재 제조업,052-297-4470,052-257-3327,6,36.00152575,128.90817065
한울농업회사법인(주),경상북도 영천시 청통면,10309,기타 과실채소 가공 및 저장 처리업,053-214-5000,054-332-5006,10,36.00912727,128.83399563
한울푸드,경상북도 영천시 청통면,10309,기타 과실채소 가공 및 저장 처리업 외 1 종,053-214-5000,054-332-5006,47,36.00912727,128.83399563
(주)청마루,경상북도 영천시 대창면,25112,구조용 금속 판제품 및 공작물 제조업 외 2 종,053-215-5000,053-215-5001,10,35.88851007,128.88750399
부림푸드,경상북도 영천시 청통면,10820,"면류, 마카로니 및 유사식품 제조업",053-253-6866,053-253-6855,5,36.00912727,128.83399563
