법정동코드,법정동명
4723000000,경상북도 영천시
4723010100,경상북도 영천시 조교동
4723010200,경상북도 영천시 망정동
4723010300,경상북도 영천시 야사동
4723010400,경상북도 영천시 문내동
4723010500,경상북도 영천시 문외동
4723010600,경상북도 영천시 창구동
4723010700,경상북도 영천시 교촌동
4723010800,경상북도 영천시 과전동
4723010900,경상북도 영천시 성내동
4723011000,경상북도 영천시 화룡동
4723011100,경상북도 영천시 도동
4723011200,경상북도 영천시 금노동
4723011300,경상북도 영천시 완산동
4723011400,경상북도 영천시 범어동
4723011500,경상북도 영천시 작산동
4723011600,경상북도 영천시 봉동
4723011700,경상북도 영천시 본촌동
4723011800,경상북도 영천시 채신동
4723011900,경상북도 영천시 괴연동
4723012000,경상북도 영천시 대전동
4723012100,경상북도 영천시 녹전동
4723012200,경상북도 영천시 도림동
4723012300,경상북도 영천시 오미동
4723012400,경상북도 영천시 오수동
4723012500,경상북도 영천시 쌍계동
4723012600,경상북도 영천시 도남동
4723012700,경상북도 영천시 매산동
4723012800,경상북도 영천시 언하동
4723012900,경상북도 영천시 신기동
4723013000,경상북도 영천시 서산동
4723025000,경상북도 영천시 금호읍
4723025021,경상북도 영천시 금호읍 교대리
4723025022,경상북도 영천시 금호읍 덕성리
4723025023,경상북도 영천시 금호읍 성천리
4723025024,경상북도 영천시 금호읍 대미리
4723025025,경상북도 영천시 금호읍 석섬리
4723025026,경상북도 영천시 금호읍 원제리
4723025027,경상북도 영천시 금호읍 냉천리
4723025028,경상북도 영천시 금호읍 신월리
4723025029,경상북도 영천시 금호읍 봉죽리
4723025030,경상북도 영천시 금호읍 관정리
4723025031,경상북도 영천시 금호읍 구암리
4723025032,경상북도 영천시 금호읍 약남리
4723025033,경상북도 영천시 금호읍 대곡리
4723025034,경상북도 영천시 금호읍 호남리
4723025035,경상북도 영천시 금호읍 어은리
4723025036,경상북도 영천시 금호읍 오계리
4723025037,경상북도 영천시 금호읍 원기리
4723025038,경상북도 영천시 금호읍 신대리
4723025039,경상북도 영천시 금호읍 남성리
4723025040,경상북도 영천시 금호읍 삼호리
4723025041,경상북도 영천시 금호읍 황정리
4723031000,경상북도 영천시 청통면
4723031021,경상북도 영천시 청통면 호당리
4723031022,경상북도 영천시 청통면 우천리
4723031023,경상북도 영천시 청통면 보성리
4723031024,경상북도 영천시 청통면 신덕리
4723031025,경상북도 영천시 청통면 대평리
4723031026,경상북도 영천시 청통면 죽정리
4723031027,경상북도 영천시 청통면 송천리
4723031028,경상북도 영천시 청통면 원촌리
4723031029,경상북도 영천시 청통면 신학리
4723031030,경상북도 영천시 청통면 치일리
4723031031,경상북도 영천시 청통면 애련리
4723031032,경상북도 영천시 청통면 계포리
4723031033,경상북도 영천시 청통면 계지리
4723031034,경상북도 영천시 청통면 신원리
4723031035,경상북도 영천시 청통면 용천리
4723032000,경상북도 영천시 신녕면
4723032021,경상북도 영천시 신녕면 치산리
4723032022,경상북도 영천시 신녕면 부산리
4723032023,경상북도 영천시 신녕면 화서리
4723032024,경상북도 영천시 신녕면 화남리
4723032025,경상북도 영천시 신녕면 왕산리
4723032026,경상북도 영천시 신녕면 매양리
4723032027,경상북도 영천시 신녕면 화성리
4723032028,경상북도 영천시 신녕면 완전리
4723032029,경상북도 영천시 신녕면 신덕리
4723032030,경상북도 영천시 신녕면 연정리
4723032031,경상북도 영천시 신녕면 가천리
4723033000,경상북도 영천시 화산면
4723033021,경상북도 영천시 화산면 연계리
4723033022,경상북도 영천시 화산면 덕암리
4723033023,경상북도 영천시 화산면 대안리
4723033024,경상북도 영천시 화산면 효정리
4723033025,경상북도 영천시 화산면 당지리
4723033026,경상북도 영천시 화산면 화산리
