연번,허가번호,유형명,지번주소,토지면적,허가시작일자,허가종료일자,공시지가 ,점용료,데이터기준일자,위도,경도
1,2013-04-01,녹지,경상북도 영천시 금호읍 냉천리 409-32,18.72,2013-12-01,2016-11-30,52400,53950,2025-11-26,35.93517175,128.88596236
2,2013-05-01,녹지,경상북도 영천시 성내동 391,874.12,2013-12-11,2999-12-31,,,2025-11-26,35.96110468,128.92042210
3,2013-05-01,녹지,경상북도 영천시 성내동 393,874.12,2013-12-11,2999-12-31,75400,,2025-11-26,35.96088685,128.92061761
4,2013-05-01,녹지,경상북도 영천시 성내동 394,874.12,2013-12-11,2999-12-31,56400,,2025-11-26,35.96095571,128.92073474
5,2013-05-01,녹지,경상북도 영천시 성내동 390,874.12,2013-12-11,2999-12-31,79400,,2025-11-26,35.96126845,128.92019737
6,2014-02-01,공원,경상북도 영천시 도남동 180,3,2014-04-30,2017-04-29,,11750,2025-11-26,35.93202470,128.94121019
7,2015-01-01,녹지,경상북도 영천시 문외동 230-1,41.85,2015-04-10,2018-03-24,41400,,2025-11-26,35.97453561,128.93444434
8,2015-02-01,녹지,경상북도 영천시 완산동 709-53,31,2015-04-22,2018-03-30,208600,,2025-11-26,35.96465717,128.94818204
9,2015-03-01,녹지,경상북도 영천시 봉동 589-1,2,2015-07-02,2018-06-10,71200,,2025-11-26,35.93139496,128.94518766
10,2015-07-01,녹지,경상북도 영천시 화룡동 427-7,88,2015-08-19,2018-08-30,80100,,2025-11-26,35.97218188,128.91461663
11,2015-08-01,녹지,경상북도 영천시 오수동 200-8,120,2015-09-21,2018-07-31,66400,,2025-11-26,35.95878882,128.91681664
12,2015-09-01,녹지,경상북도 영천시 완산동 709-16,42,2015-09-30,2018-09-30,151300,,2025-11-26,35.96512148,128.94822876
13,2015-10-01,공원,경상북도 영천시 화룡동 125,285.84,2015-06-01,2018-05-31,64400,,2025-11-26,35.97805670,128.92205362
14,2015-10-01,공원,경상북도 영천시 화룡동 산 37,285.84,2015-06-01,2018-05-31,7060,,2025-11-26,35.97627826,128.92447272
15,2016-01-01,녹지,경상북도 영천시 봉동 589-1,26.4,2015-10-30,2018-10-29,71200,9400,2025-11-26,35.93139496,128.94518766
16,2016-02-01,녹지,경상북도 영천시 봉동 589-1,2.11,2016-04-01,2018-03-31,71200,8270,2025-11-26,35.93139496,128.94518766
17,2016-02-01,녹지,경상북도 영천시 도남동 180,2.11,2016-04-01,2018-03-31,,8270,2025-11-26,35.93202470,128.94121019
18,2016-02-01,녹지,경상북도 영천시 도남동 182,2.11,2016-04-01,2018-03-31,,8270,2025-11-26,35.93137209,128.94309923
19,2016-03-01,녹지,경상북도 영천시 망정동 416-3,136.4,2016-04-26,2019-04-25,,,2025-11-26,35.98603347,128.95761025
20,2016-03-01,녹지,경상북도 영천시 망정동 8-19,136.4,2016-04-26,2019-04-25,85500,,2025-11-26,35.98427390,128.95804641
21,2016-04-01,녹지,경상북도 영천시 금호읍 신월리 47-7,597,2016-03-06,2017-04-30,137200,,2025-11-26,35.94427114,128.90321747
22,2016-04-01,녹지,경상북도 영천시 금호읍 신월리 48-3,597,2016-03-06,2017-04-30,161500,,2025-11-26,35.94390825,128.90390973
23,2016-05-01,녹지,경상북도 영천시 오수동 301-2,81,2016-09-01,2019-06-30,141000,,2025-11-26,35.95752412,128.91423074
24,2016-06-01,녹지,경상북도 영천시 금호읍 원제리 522-1,32,2016-09-20,2019-08-30,123600,,2025-11-26,35.94102135,128.89873677
25,2016-07-01,녹지,경상북도 영천시 봉동 598,42,2016-10-21,2019-10-20,,,2025-11-26,35.93241259,128.94605125
26,2016-07-01,녹지,경상북도 영천시 봉동 657-1,42,2016-10-21,2019-10-20,,,2025-11-26,35.93237638,128.94581544
27,2016-07-01,녹지,경상북도 영천시 봉동 656-3,42,2016-10-21,2019-10-20,434900,260370,2025-11-26,35.93219679,128.94589652
28,2016-07-01,녹지,경상북도 영천시 봉동 657-3,42,2016-10-21,2019-10-20,434900,260370,2025-11-26,35.93228187,128.94563630
29,2016-08-01,녹지,경상북도 영천시 금호읍 냉천리 409-32번지,18.72,2016-12-01,2019-11-30,52400,53940,2025-11-26,35.93517175,128.88596236
30,2016-09-01,녹지,경상북도 영천시 금호읍 교대리 400-36,63.24,2016-12-30,2019-12-30,86700,,2025-11-26,35.93389020,128.86869048
31,2016-09-01,녹지,경상북도 영천시 금호읍 교대리 400-40,63.24,2016-12-30,2019-12-30,90500,,2025-11-26,,
32,2025-01-22,녹지,"경상북도 영천시 봉동 589-1, 봉동 180, 봉동 182",2.002,2022-04-01,2024-03-31,111000,24440,2025-11-26,35.93139496,128.94518766
33,2025-02-23,녹지,"경상북도 영천시 봉동 598, 봉동 657-1",33,2022-10-21,2024-10-20,679300,406870,2025-11-26,35.93241259,128.94605125
34,,녹지,"경상북도 영천시 봉동656-6, 봉동 657-4",9,2022-10-21,2024-10-20, 사유지 ,,2025-11-26,35.93225749,128.94589209
35,2025-03-23,녹지,경상북도 영천시 금호읍 구암리 1335-7,675,2023-01-25,2025-12-31,5130,49950,2025-11-26,35.90637230,128.94951728
36,2025-04-23,녹지,경상북도 영천시 봉동 589-1,2.4,2023-04-30,2026-04-29,111000,43960,2025-11-26,35.93139496,128.94518766
37,2025-05-23,녹지,"경상북도 영천시 도남동 180, 181",3,2023-04-30,2026-04-29,111000,49950,2025-11-26,35.93202470,128.94121019
38,2025-06-23,녹지,경상북도 영천시 조교동 472-3,9.3,2023-06-01,2026-05-31,197370,308620,2025-11-26,35.98294835,128.96122206
39,2025-07-23,녹지,경상북도 영천시 망정동 540,72,2023-10-25,2025-10-24,286300,1133750,2025-11-26,35.98304792,128.95183488
40,2025-01-24,녹지,"경상북도 영천시 봉동 589-1,봉동 180, 182",2.002,2024-04-01,2026-03-31,127700,28130,2025-11-26,35.93139496,128.94518766
41,2025-02-24,녹지,경상북도 영천시 화룡동 726,38,2024-12-31,2026-12-31, 사유지 ,,2025-11-26,35.97347284,128.91402950
42,2025-03-24,녹지,경상북도 영천시 완산동 1469,0.126,2022-04-02,2024-03-31,510900,6440,2025-11-26,35.96709615,128.94824565
43,2025-01-24,공원,경상북도 영천시 영천시 망정동 416,50,2024-12-09,2999-12-31,,,2025-11-26,35.98418933,128.95527492
44,2025-01-25,공원,경상북도 영천시 영천시 창구동 산6,120,2025-08-19,2027-09-30,7550,,2025-11-26,35.97463731,128.92702595
