연번,구분,상호명,소재지도로명주소,전화번호,위도,경도,데이터기준일자
1,법인,용평마을,경상북도 영천시 화산면 가일길 85-24 (용평마을),054-334-2007,36.02296,128.8359,2026-01-12
2,법인,마야노인전문요양원,경상북도 영천시 북안면 내서로 55-24,054-335-0056,35.91004,129.01633,2026-01-12
3,법인,자광원(주식회사 덕원),경상북도 영천시 금호읍 칠백로 339,054-338-6100,35.89662,128.9184,2026-01-12
4,법인,마야실비노인요양원,경상북도 영천시 북안면 고지길 42-6,054-333-3993,35.90632,129.01238,2026-01-12
5,법인,은해사 포근한집,경상북도 영천시 청통면 대동로 424,054-335-3314,35.99198,128.80164,2026-01-12
6,법인,포은실버타운,경상북도 영천시 임고면 효자로 241-18,054-336-9988,36.00767,128.9918,2026-01-12
7,개인,영남실버케어,경상북도 영천시 양지길 128 (화룡동),054-332-9900,35.97031,128.92012,2026-01-12
8,개인,온누리요양원,경상북도 영천시 완산4길 194 (완산동),054-336-6630,35.97314,128.93845,2026-01-12
9,개인,영천석미노인요양원,경상북도 영천시 최무선로 335 (문외동),054-335-0000,35.96299,128.92094,2026-01-12
10,개인,경북요양원,경상북도 영천시 창대서원1길 9-3 (과전동),054-338-0075,35.96383,128.92741,2026-01-12
11,개인,영천행복마을요양원,경상북도 영천시 장천4길 26-24 (조교동),054-338-1138,35.97329,128.95973,2026-01-12
12,법인,우리들요양원,경상북도 영천시 금호읍 금호로 424,054-338-5388,35.944159,128.904908,2026-01-12
13,개인,솔향기요양원,경상북도 영천시 천문로 434-34(오미동),054-335-5252,35.9776859,128.9275014,2026-01-12
14,개인,장수요양원,경상북도 영천시 구터2길 3-4 (성내동),054-331-0001,35.96024,128.9211,2026-01-12
15,개인,영천애실버타운,경상북도 영천시 화남면 한천길 10-37,054-333-6787,36.06759,128.8935,2026-01-12
16,개인,우리실버타운요양원,경상북도 영천시 완산4길 127 (완산동),054-334-1500,35.96065,128.95561,2026-01-12
17,개인,장수노인요양공동생활가정,경상북도 영천시 수원지길 75 (성내동),054-331-0001,35.96024,128.9211,2026-01-12
18,개인,유정실버홈,경상북도 영천시 천문로 72-33 (도동),054-335-8878,35.94106,128.93522,2026-01-12
19,개인,단포공동생활가정,경상북도 영천시 고경면 단포구보길 65,054-337-8899,35.97928,128.97705,2026-01-12
20,개인,효담채실버홈,경상북도 영천시 담안7길 2(금노동),054-338-8122,35.958992,128.9299319,2026-01-12
21,개인,우리함께영천요양원,경상북도 영천시 금호읍 관정1길 40,054-337-3330,35.9314709,128.9106477,2026-01-12
22,개인,영천우수요양원,경상북도 영천시 원제1길 11-8,054-336-7347,35.96274,128.9337,2026-01-12
23,개인,영천백세마을,경상북도 영천시 임고면 매호리 418번지,054-335-7999,35.96034,128.93445,2026-01-12
24,개인,굿스마트재활요양원,경상북도 영천시 외머리로 98(화룡동),054-706-8998,35.97884,128.91996,2026-01-12
25,개인,서범노인요양센터 공동생활가정,경상북도 영천시 금정골길 40,,36.01531,129.03197,2026-01-12
