연번,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원(명),운영일,시작시간,종료시간,선풍기,에어컨
1,덕성리경로당,경상북도 영천시 금호읍 금호로 56-40 ,경상북도 영천시 금호읍 덕성리 232,154.2,35,"월,화,수,목,금,토,일",09:00,18:00,2,2
2,황정리경로당,경상북도 영천시 금호읍 관황길 49-4 ,경상북도 영천시 금호읍 황정리 412-2,82.6,30,"월,화,수,목,금,토,일",09:00,18:00,3,2
3,오계2리경로당,경상북도 영천시 금호읍 사근달길 75-3 ,경상북도 영천시 금호읍 오계리 545-3,99,35,"월,화,수,목,금,토,일",09:00,18:00,3,2
4,원기리경로당,경상북도 영천시 금호읍 창산길 142-5 ,경상북도 영천시 금호읍 원기리 395,89.3,30,"월,화,수,목,금,토,일",09:00,18:00,2,2
5,우천1리경로당,경상북도 영천시 청통면 청통로 236,경상북도 영천시 청통면 우천리 730,105.71,30,"월,화,수,목,금,토,일",09:00,18:00,3,2
6,치일2리경로당,경상북도 영천시 청통면 부흥길 29,경상북도 영천시 청통면 치일리 583-16,71.85,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
7,계지1리경로당,경상북도 영천시 청통면 망지1길 9,경상북도 영천시 청통면 계지리 120,66,25,"월,화,수,목,금,토,일",09:00,18:00,3,1
8,용천리경로당,경상북도 영천시 청통면 용호길 28,경상북도 영천시 청통면 용천리 391,73.05,30,"월,화,수,목,금,토,일",09:00,18:00,2,2
9,신원리경로당,경상북도 영천시 청통면 거조길 328,경상북도 영천시 청통면 신원리 422-3,90.48,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
10,송천리경로당,경상북도 영천시 청통면 월성길 7-9 ,경상북도 영천시 청통면 송천리 171,99.12,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
11,신학1리경로당,경상북도 영천시 청통면 청통로 632,경상북도 영천시 청통면 신학리 566-8,86.49,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
12,신학2리경로당,경상북도 영천시 청통면 새학길 61,경상북도 영천시 청통면 신학리 124-2,39.3,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
13,치일1리경로당,경상북도 영천시 청통면 치일길 4,경상북도 영천시 청통면 치일리 590-1,105.43,30,"월,화,수,목,금,토,일",09:00,18:00,3,2
14,보성리경로당,경상북도 영천시 청통면 청통로 373,경상북도 영천시 청통면 보성리 145-1,78.93,30,"월,화,수,목,금,토,일",09:00,18:00,1,2
15,화성2리경로당,경상북도 영천시 신녕면 화성중앙길 24-9 ,경상북도 영천시 신녕면 화성리 414-3,315.83,78,"월,화,수,목,금,토,일",09:00,18:00,5,1
16,화성3리경로당,경상북도 영천시 신녕면 화성중앙길 5,경상북도 영천시 신녕면 화성리 872,167,41,"월,화,수,목,금,토,일",09:00,18:00,1,1
17,신녕부녀경로당,경상북도 영천시 신녕면 본관시장길 34,경상북도 영천시 신녕면 화성리 903-9,208.6,52,"월,화,수,목,금,토,일",09:00,18:00,3,1
18,완전2리경로당,경상북도 영천시 신녕면 장수로 1637,경상북도 영천시 신녕면 완전리 853-58,130.17,32,"월,화,수,목,금,토,일",09:00,18:00,2,1
19,신덕2리경로당,경상북도 영천시 신녕면 신정길 27-4 ,경상북도 영천시 신녕면 신덕리 223-1,81.3,20,"월,화,수,목,금,토,일",09:00,18:00,7,1
20,연정1리경로당,경상북도 영천시 신녕면 연정큰길 57,경상북도 영천시 신녕면 연정리 345,419.32,50,"월,화,수,목,금,토,일",09:00,18:00,3,1
21,가천리경로당,경상북도 영천시 신녕면 큰골길 101,경상북도 영천시 신녕면 가천리 183-1,75.56,20,"월,화,수,목,금,토,일",09:00,18:00,2,2
22,화서리경로당,경상북도 영천시 신녕면 화정길 19-7 ,경상북도 영천시 신녕면 화서리 762,51.06,15,"월,화,수,목,금,토,일",09:00,18:00,3,1
23,화남3리경로당,경상북도 영천시 신녕면 화해길 16,경상북도 영천시 신녕면 화남리 955-1,152,38,"월,화,수,목,금,토,일",09:00,18:00,2,1
24,화성1리경로당,경상북도 영천시 신녕면 큰골길 14,경상북도 영천시 신녕면 화성리 485-1,142.9,35,"월,화,수,목,금,토,일",09:00,18:00,3,1
25,용평리경로당,경상북도 영천시 화산면 용평1길 9,경상북도 영천시 화산면 용평리 193-18,93,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
26,유성1리경로당,경상북도 영천시 화산면 유정안길 14-4 ,경상북도 영천시 화산면 유성리 700,78,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
27,석촌리경로당,경상북도 영천시 화산면 석촌2길 60,경상북도 영천시 화산면 석촌리 47-10,38,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
28,대안2리경로당,경상북도 영천시 화산면 대안2길 81-25 ,경상북도 영천시 화산면 대안리 1014-4,71,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
29,당지1리경로당,경상북도 영천시 화산면 섭재골길 24,경상북도 영천시 화산면 당지리 109,99,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
30,당지2리경로당,경상북도 영천시 화산면 산성길 10,경상북도 영천시 화산면 당지리 517-2,86,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
31,당곡리경로당,경상북도 영천시 화산면 당곡길 48-10 ,경상북도 영천시 화산면 당곡리 279,94,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
32,화산2리경로당,경상북도 영천시 화산면 효지길 98-14 ,경상북도 영천시 화산면 화산리 239-2,79,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
33,암기리경로당,경상북도 영천시 화산면 가래실로 162,경상북도 영천시 화산면 암기리 544-1,84,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
34,화산1리경로당,,경상북도 영천시 화산면 화산리 1095-2,92,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
35,부계리경로당,경상북도 영천시 화산면 부계길 115-6 ,경상북도 영천시 화산면 부계리 206-1,60,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
36,부녀회경로당,경상북도 영천시 화산면 장수로 926-7 ,경상북도 영천시 화산면 유성리 600-1,90,40,"월,화,수,목,금,토,일",09:00,18:00,1,1
37,삼부리경로당,경상북도 영천시 화산면 장수로 577-25 ,경상북도 영천시 화산면 삼부리 157,61,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
38,효정1리경로당,경상북도 영천시 화산면 옛서당길 74,경상북도 영천시 화산면 효정리 494-4,75,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
39,대기리경로당,경상북도 영천시 화산면 대암길 112-1 ,경상북도 영천시 화산면 대기리 792,78,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
40,연계2리경로당,경상북도 영천시 화산면 율전길 32-4 ,경상북도 영천시 화산면 연계리 270,83,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
41,유성3리경로당,경상북도 영천시 화산면 유성길 13,경상북도 영천시 화산면 유성리 578-5,98,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
42,덕암2리경로당,경상북도 영천시 화산면 덕암2길 6,경상북도 영천시 화산면 덕암리 239,74,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
43,연계1리경로당,,경상북도 영천시 화산면 연계리 219-37,83,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
44,화산분회경로당,경상북도 영천시 화산면 장수로 921,경상북도 영천시 화산면 유성리 502-9,116,50,"월,화,수,목,금,토,일",09:00,18:00,2,1
45,대안3리경로당,경상북도 영천시 화산면 신정길 12,경상북도 영천시 화산면 대안리 1206-7,86,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
46,덕암1리경로당,경상북도 영천시 화산면 덕암길 12-5 ,경상북도 영천시 화산면 덕암리 548-84,272,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
47,대안1리경로당,경상북도 영천시 화산면 대안1길 45,경상북도 영천시 화산면 대안리 261-1,66,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
