연번,시도,시군구,읍면동,리,지번,기타지번,위도 도,위도 분,위도 초,경도 도,경도 분,경도 초,취약지역유형,소유별,취약지역 지정사유 및 목적,지정일
1,경상북도,영천시,화남면,온천리,산86임,,36,5,23.099,128,51,38.7,토석류,사유림,소규모 붕괴지가 다수 관찰되며 일부 암반층이 파괴된 곳이 있음. 계안침식이 활발히 일어나 구곡이 심화되고 있는 계류로 급격한 유량 증가시 토사에 의한 피해가 있다고 판단됨.,2015-07-20
2,경상북도,영천시,화남면,용계리,1117구,976임,36,7,13.925,128,51,34.16,토석류,사유림,사찰건물과 연접한 계류로 토사와 기타 퇴적물이 유동하고 있으며 우기 또는 집중호우시 추가적인 토석유출가능성이 높아 계류보전을 설치하여 피해를 예방하는 것이 적절한 것으로 판단됨,2016-06-29
3,경상북도,영천시,고경면,삼포리,산31-1임,산46,36,1,14.299,129,6,37.3,토석류,사유림,"본 계류는 전반적으로 기반암이 노출되어 있고 그 풍화도가 높으며 이에 따른 계안침식, 표층유실, 붕괴사면등이 관찰되고 계류 내 퇴적물이 유동하여 쌓인 퇴적지도 다수 관찰되므로 사방댐을 통해 하부 인가 및 도로에 안정성을 높이는 것이 적절한 것으로 판단됨",2016-06-29
4,경상북도,영천시,임고면,수성리,산61-7임,,36,2,18.2,129,7,34.6,토석류,사유림,"계류사면에 경사가 급하며 수목전도, 표층유실 등 위험요소가 관찰되는 계류로 취약지역으로의 선정을 제안함.",2018-12-21
5,경상북도,영천시,자양면,도일리,산49-1임,,36,6,25.712,129,5,26.256,토석류,사유림,계류 내 자갈 및 전석이 다수 존재하여 유동가능성이 높아 인가에 추가 피해가 우려됨. 따라서 취약지역으로 지정하여 관리하고자 함.,2017-06-29
6,경상북도,영천시,자양면,보현리,산103 산104,2145전,36,8,28.399,129,1,2.7,토석류,사유림,"본 계류는 지속적인 풍화로 인해 계류 황폐화가 유역 전반에 걸쳐 진행된 상태이며, 계류 주변부 급경사지에는 퇴적물들이 다수 분포하고 있어 지속적으로 본 계류에 유입되고 있는 상태이다. 장기적으로는 붕괴유실물들이 적치될 경우 집중호우등과 같은 외부적인 조건에 의해 계류수가 증가하면서 토석류의 형태로 발생될 가능성이 있으므로 취약지역으로 선정함",2014-09-06
7,경상북도,영천시,자양면,도일리,산151-1구 산151구,492천,36,5,36.599,129,5,31.7,토석류,사유림,본 조사지역은 황폐화가 진행 중인 유역으로 유출구하부로 인가밀집지가 존재하나 그에 따른 사방시설물이 없어 강우시 발생가능성이 높은 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 클 것으로 예상됨.,2014-09-06
8,경상북도,영천시,화북면,죽전리,산103임,,36,8,49.198,128,55,7.182,산사태,사유림,주민이 불안과 불편을 호소하는 지역으로 강우 시 사면으로부터 유송잡물이 유출되어 인명과 재산을 위협하므로 산지사방을 설치해 이러한 피해를 예방하는 것이 타당하다 판단됨,2016-06-29
9,경상북도,영천시,서산동,,산190-6임,,35,58,51.088,128,53,30.965,토석류,사유림,퇴적암편이 배수기능을 저하시켜 월류로 인한 피해이력이 다수 존재하는 지역임. 주민이 취약지역으로 지정하여 대책마련을 요구하고 있음.,2017-06-29
10,경상북도,영천시,자양면,충효리,산116임,,36,6,28.699,129,3,50.1,토석류,사유림,본 조사지역은 황폐화가 진행 중인 유역으로 유출구하부로 인가밀집지가 존재하나 그에 따른 사방시설물이 없어 강우시 발생가능성이 높은 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 클 것으로 예상됨.,2014-09-06
11,경상북도,영천시,신녕면,화남리,산162임,산142 산145 산289구 1146전,36,3,51.628,128,45,9.924,토석류,사유림,본 조사유역은 유출구를 중심으로 인가가 분포하고 있으며 강우에 의한 침식이 진행 중이다. 또한 계류 양안의 자연사면에서 식생중 일부가 계류 쪽으로 전도되는 현상이 발견되고 상부 위험사면에서 토석류 발생시 계류 하부에 존재하는 인가 및 인공경작지에 막대한 피해를 줄 것으로 예측되어 취약지역으로 선정함,2014-09-06
12,경상북도,영천시,신녕면,화남리,산39-1임,,36,4,9.799,128,45,59,토석류,사유림,좌측 사면으로 벌목이 되어 있지만 유목들은 그대로 방치됨,2015-07-20
13,경상북도,영천시,자양면,삼귀리,248임,,36,4,56.099,129,4,29.6,토석류,사유림,경작지 및 인가들이 인접해 있으며 우안으로 붕괴지가 위치해 있어 산사태 발생 우려지역으로 선정하여 관리가 필요할 것으로 생각됨.,2015-07-20
14,경상북도,영천시,화산면,당지리,1763구,793답,36,5,43.099,128,50,0.5,토석류,사유림,"본 계류는 황폐화가 진행되고 있는 유역으로 계류 내 퇴적물인 전석과 자갈이 퇴적되어 있고, 현재 부분적으로 세굴과 침식이 관측된다. 강우 시 유량이 상당히 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역이므로 취약지역으로 선정함.",2014-09-06
15,경상북도,영천시,대창면,오길리,산68-6임,산68-3임 406임 407임 408임,35,52,38.797,128,55,49.294,토석류,사유림,사방 시설설치,2019-12-30
16,경상북도,영천시,임고면,수성리,산64임,산59-3,36,2,21.499,129,8,5,토석류,사유림,"계류 전반에 걸쳐 유송잡물 및 유목이 다수 분포하고 세굴, 침식이 다수 관찰되며 전도된 수목도 다수 존재해 집중호우 시 토석류가 발생할 가능성이 존재하므로 사방댐 설치가 필요할 것으로 사료됨",2016-06-29
17,경상북도,영천시,청통면,치일리,산25-1임,,36,0,11.998,128,45,31.041,토석류,사유림,"계류하상퇴적지 발달 및 계안침식, 표층유실, 토사 및 전석유출 등 토석류 발생에 취약한 지역으로 사방댐 설치를 통해 계류안정화가 필요할 것으로 사료됨",2016-06-29
18,경상북도,영천시,청통면,치일리,산25-1임,,35,59,43.978,128,46,4.826,토석류,사유림,"계류 전반에 걸쳐 퇴적물이 다수 분포하고 세굴, 유실, 침식이 다수 관찰되며 수목전도도 관찰되는 등 집중호우 시 토석류 발생 예방을 위하여 사방댐 설치가 필요하다고 사료됨",2016-06-29
19,경상북도,영천시,청통면,신덕리,산94,843 대,35,58,22.404,128,50,57.98,토석류,사유림,계류 양안 풍화 가 심하여 사면의 붕괴가 일어날 가능성이 높아 게류보전을 통하여 안전을 확보할 필요성이 있음,2014-09-06
20,경상북도,영천시,화남면,월곡리,산169임,,36,6,20.299,128,52,44.2,토석류,사유림,유출구 하부로 마을이 형성되어 있어 인가가 다수 분포되어 있으며 현재 세굴 등으로 인한 소규모 토사 유출현상으로 위험도는 낮으나 장기적인 측면을 고려한다면 세굴로 인하여 계류 주변 사면의 하부 지지력을 이탈시켜 붕괴로 이어질 가능성이 높아 취약지역으로 선정함,2014-09-06
21,경상북도,영천시,화산면,당지리,산97임,,36,4,47.499,128,49,42,토석류,사유림,"상류지역에 벌채지가 있어 토사유출이 활발하였으며, 여름철 국지성 집중호우로 인한 토사재해가 우려되는 재해취약지이며, 하류의 저수지와 농경지의 재해에 대한 피해감수성이 높기에 산사태 발생 우려지역으로 선정해야 한다고 판단됨",2015-07-20
22,경상북도,영천시,자양면,보현리,산88-1임,,36,8,58.399,129,1,40.6,토석류,사유림,계류 양안으로 침식이 발달한 불안정한 지역으며 일부구간에서는 양안의 사면이 침식 및 풍화등으로 연약해져 퇴적물들이 계류로 지속적으로 유입되고 있어 산사태 발생 우려지역으로 선정이 필요하다고 생각됨,2015-07-20
23,경상북도,영천시,청통면,신원리,산132임,,36,0,44.999,128,45,50,토석류,국유림,계안부의 침식피해가 진행 중이며 집중호우 시 계상 내 퇴적물이 유출될 경우 하부 호암쉼터에서 인적·물적 피해가 우려되는 지역이므로 사방사업을 통해 위험성을 해소할 필요성이 있다고 판단됨,2017-05-31
