업종명,업소명,영업장주소(도로명),전화번호,데이터기준일자
숙박업(일반),제이모텔,경상북도 영천시 금완로 83-1 (완산동),,2024-06-26
숙박업(일반),안동여인숙,경상북도 영천시 금완로 91 (완산동),054-334-2417,2024-06-26
숙박업(일반),리젠시모텔,경상북도 영천시 강변로 50-46 (금노동),054-332-4800,2024-06-26
숙박업(일반),청도여관,경상북도 영천시 역전로 27-1 (완산동),054-334-3645,2024-06-26
숙박업(일반),귀빈장여관,경상북도 영천시 시장2길 36 (완산동),054-332-2020,2024-06-26
숙박업(일반),백합모텔,경상북도 영천시 망정1길 22-6 (망정동),054-333-6500,2024-06-26
숙박업(일반),대성여관,경상북도 영천시 망정2길 11 (망정동),054-333-7770,2024-06-26
숙박업(일반),신녕장모텔,경상북도 영천시 신녕면 장수로 1663-1,054-333-8010,2024-06-26
숙박업(일반),모텔 휴,경상북도 영천시 완산중앙3길 42 (완산동),054-927-1100,2024-06-26
숙박업(일반),상록여관,경상북도 영천시 완산중앙3길 38 (완산동),054-331-4265,2024-06-26
숙박업(일반),테마모텔,경상북도 영천시 망정1길 55 (야사동),054-338-6616,2024-06-26
숙박업(일반),동화장여관,"경상북도 영천시 금호읍 금호로 155 (147-1,639-1번지)",054-331-1220,2024-06-26
숙박업(일반),동혜여관,경상북도 영천시 금호읍 금호로 76 (115-6),054-331-8948,2024-06-26
숙박업(일반),보물섬모텔,경상북도 영천시 완산중앙7길 12 (완산동),054-332-6336,2024-06-26
숙박업(일반),에코모텔,경상북도 영천시 금호읍 금호로 368 (63.64번지),054-927-2200,2024-06-26
숙박업(일반),모텔 몽,경상북도 영천시 고경면 용담로 1379-3,054-335-3883,2024-06-26
숙박업(일반),보문장여관,경상북도 영천시 완산중앙1길 20-8 (완산동),054-331-2522,2024-06-26
숙박업(일반),유나호텔,경상북도 영천시 시청남1길 12-5 (문외동),054-331-8800,2024-06-26
숙박업(일반),초원모텔,경상북도 영천시 삼산길 10 (문외동),054-331-3171,2024-06-26
숙박업(일반),나이스모텔,경상북도 영천시 삼산길 6 (문외동),054-332-9400,2024-06-26
숙박업(일반),젠 모텔,경상북도 영천시 영천아이시로 102 (봉동),054-336-2167,2024-06-26
숙박업(일반),일생장여관,경상북도 영천시 시청로 15 (문외동),054-332-6707,2024-06-26
숙박업(일반),강변모텔,경상북도 영천시 조양공원길 27-5 (창구동),054-333-8004,2024-06-26
숙박업(일반),이오모텔,경상북도 영천시 교창길 21-4 (과전동),054-333-7475,2024-06-26
숙박업(일반),청우장여관,경상북도 영천시 삼산길 8 (문외동),054-331-8763,2024-06-26
숙박업(일반),청용장여관,경상북도 영천시 고경면 호국로 1736-30,054-336-5231,2024-06-26
숙박업(일반),주식회사 파리드호텔,경상북도 영천시 고경면 용담로 1393-9,054-332-8383,2024-06-26
숙박업(일반),큐피트모텔,경상북도 영천시 화남면 구전로 7,054-337-6222,2024-06-26
숙박업(일반),팔공모텔,경상북도 영천시 신녕면 장수로 1755 (760-1번지),054-331-2373,2024-06-26
숙박업(일반),더자,경상북도 영천시 청통면 청통로 698-6,054-336-2661,2024-06-26
숙박업(일반),대평산장여관,경상북도 영천시 청통면 사일로 268,054-334-6888,2024-06-26
숙박업(일반),왕산장여관,경상북도 영천시 신녕면 치산효령로 274,054-332-5073,2024-06-26
숙박업(일반),현대장여관,경상북도 영천시 고경면 용담로 2070,054-336-8026,2024-06-26
숙박업(일반),참모텔,경상북도 영천시 청통면 은해사로 94,054-333-1718,2024-06-26
숙박업(일반),파라다이스모텔,경상북도 영천시 고경면 상리공단길 11,054-335-2305,2024-06-26
숙박업(일반),동림모텔,경상북도 영천시 고경면 용담로 1908,054-336-5080,2024-06-26
숙박업(일반),드림모텔,경상북도 영천시 금호읍 금호로 502,054-337-8787,2024-06-26
숙박업(일반),세바모텔,경상북도 영천시 금완로 87-1 (완산동),054-333-5008,2024-06-26
숙박업(일반),파라다이스모텔,경상북도 영천시 북안면 운북로 2095,054-332-7848,2024-06-26
숙박업(일반),넘버25호텔,경상북도 영천시 완산중앙7길 13 (완산동),054-338-0333,2024-06-26
숙박업(일반),정'양 호텔,"경상북도 영천시 옛군청1길 11-3 (창구동,90-36)",,2024-06-26
숙박업(일반),늘푸른장,경상북도 영천시 완산중앙1길 20-5 (완산동),054-333-4801,2024-06-26
숙박업(일반),서광모텔,경상북도 영천시 금호읍 금호로 220,054-336-3300,2024-06-26
숙박업(일반),파크여관,경상북도 영천시 창대서원1길 9-34 (과전동),054-331-2389,2024-06-26
숙박업(일반),호텔 샵,경상북도 영천시 강변로 50-38 (금노동),054-338-7792,2024-06-26
숙박업(일반),브라운 도트 영천점,경상북도 영천시 금완로 78 (완산동),054-335-7779,2024-06-26
숙박업(일반),호텔 yaja,경상북도 영천시 옛군청2길 10 (문내동),054-331-9953,2024-06-26
숙박업(일반),라임,경상북도 영천시 금호읍 금호로 496,054-337-1501,2024-06-26
숙박업(일반),삼오장여관,경상북도 영천시 시장2길 17 (완산동),054-332-9080,2024-06-26
숙박업(일반),호텔 영천,경상북도 영천시 문화원길 14 (문내동),054-331-1231,2024-06-26
숙박업(일반),코리아나모텔,경상북도 영천시 청통면 청통로 124,054-337-4720,2024-06-26
