연번,구분,상호명,도로명주소,지번주소,전화번호,위도,경도
1,일반음식점,중화반점,경상북도 영천시 역전로 33 (완산동),경상북도 영천시 완산동 902 ,,35.96163724,128.93708734
2,일반음식점,국수랑 밥이랑,경상북도 영천시 역전로 53-1 (완산동),경상북도 영천시 완산동 930-36 ,054-333-3177,35.96051546,128.93889029
3,일반음식점,팔공산식당,경상북도 영천시 청통면 청통로 894-52,경상북도 영천시 청통면 치일리 407 외 4필지 ,,,
4,일반음식점,대창돼지찌개,,경상북도 영천시 대창면 대창리 1033 ,,,
5,일반음식점,춘향이와 이도령,경상북도 영천시 신녕면 장수로 1670,경상북도 영천시 신녕면 완전리 847 ,054-334-4983,36.04068034,128.78847094
6,일반음식점,포항할매집,"경상북도 영천시 시장4길 52, 23,24,25,29,30,67,68동 (완산동,제2지구)","경상북도 영천시 완산동 982-3 제2지구 23,24,25,29,30,67,68동 ",,35.96426957,128.93856849
7,일반음식점,서부식당,,경상북도 영천시 신녕면 부산리 934 ,054-334-4531,,
8,일반음식점,완산골 콩나물라면,경상북도 영천시 역전로 53 (완산동),경상북도 영천시 완산동 930-34 ,054-334-2745,35.96048616,128.93884493
9,일반음식점,화평대군,경상북도 영천시 최무선로 212 (성내동),경상북도 영천시 성내동 190-15 ,,35.96292595,128.92438866
10,일반음식점,제일식당,,경상북도 영천시 화남면 삼창리 235 ,054-334-9165,,
11,일반음식점,포항식당,경상북도 영천시 대창면 금창로 685-1,경상북도 영천시 대창면 대창리 1040-1 ,054-334-2514,35.87514954,128.89684158
12,일반음식점,우정분식,경상북도 영천시 백신애길 4 (과전동),경상북도 영천시 과전동 73-2 ,,35.96694717,128.92913794
13,일반음식점,낙원식당,경상북도 영천시 완산중앙5길 7 (완산동),경상북도 영천시 완산동 905-28 ,054-335-4021,35.96210969,128.93654794
14,일반음식점,바다장터,경상북도 영천시 시장로 60-2 (완산동),경상북도 영천시 완산동 1069-5 ,054-334-4733,35.96314446,128.93691199
15,일반음식점,광명식당,경상북도 영천시 통운길 13 (완산동),경상북도 영천시 완산동 1087-6 ,054-337-5598,35.96068762,128.93667052
16,일반음식점,옹달샘식당,,경상북도 영천시 완산동 1082 ,054-334-3251,,
17,일반음식점,행복막창,,경상북도 영천시 금호읍 덕성리 113 ,054-331-8180,,
18,일반음식점,신녕소머리 국밥,경상북도 영천시 신녕면 장수로 1669-1,경상북도 영천시 신녕면 화성리 968-3 ,054-334-2802,36.04081916,128.78814013
19,일반음식점,원곡식당,경상북도 영천시 북안면 운북로 1429,경상북도 영천시 북안면 명주리 192-5 ,,35.87182673,128.99384252
20,일반음식점,영광구이,경상북도 영천시 북안면 임포역길 97-1,경상북도 영천시 북안면 임포리 242-3 ,,35.91732952,129.00990184
21,일반음식점,명주식당,,경상북도 영천시 북안면 명주리 192 ,054-332-0014,,
22,일반음식점,산성한우곰탕,"경상북도 영천시 시장4길 52 (완산동,제2지구 75,76,77,78,79,80)","경상북도 영천시 완산동 982-3 제2지구 75,76,77,78,79,80 ",,35.96426957,128.93856849
23,일반음식점,열구통닭,,경상북도 영천시 창구동 39 ,054-337-4043,,
24,일반음식점,부흥식당,경상북도 영천시 금호읍 금호로 106,경상북도 영천시 금호읍 교대리 166-1 ,054-336-3358,35.93127803,128.87321926
25,일반음식점,사일식당,경상북도 영천시 청통면 사일로 136-3,경상북도 영천시 청통면 대평리 1144-12 ,054-337-5223,,
26,일반음식점,못둑식당,,경상북도 영천시 청통면 대평리 1069 ,054-331-3290,,
27,일반음식점,쭈꾸미식당,경상북도 영천시 충효로 85-1 (문외동),경상북도 영천시 문외동 9-51 ,,35.97393472,128.93842666
28,일반음식점,진주통닭,경상북도 영천시 완산중앙6길 5-10 (완산동),경상북도 영천시 완산동 1079-17 ,,35.96283912,128.93655610
29,일반음식점,편대장영화식당,경상북도 영천시 강변로 50-15 (금노동),경상북도 영천시 금노동 582 ,054-332-1643,35.96041624,128.92808368
30,일반음식점,유진식당,"경상북도 영천시 시장4길 52, 영천공설시장 (완산동)",경상북도 영천시 완산동 982-3 영천공설시장 ,054-337-4314,35.96426957,128.93856849
31,일반음식점,시장떡집(시장식당),"경상북도 영천시 시장4길 52, 영천공설시장 3지구 112호 (완산동)",경상북도 영천시 완산동 982-3 영천공설시장 ,054-332-1648,35.96426957,128.93856849
32,일반음식점,영동식육식당,,경상북도 영천시 문외동 54-10 ,054-333-4428,,
33,일반음식점,강산구이,,경상북도 영천시 화남면 삼창리 265 ,,,
34,일반음식점,새임고식당,경상북도 영천시 자양면 포은로 1632,경상북도 영천시 자양면 성곡리 551-3 ,,36.07800128,129.01811261
35,일반음식점,건천식당,경상북도 영천시 고경면 용담로 1379-16,경상북도 영천시 고경면 덕정리 519 ,054-334-2655,35.92613086,129.11541020
36,일반음식점,산아래,경상북도 영천시 고경면 용담로 1379-7,경상북도 영천시 고경면 덕정리 363 ,054-334-4563,35.92665410,129.11516162
37,일반음식점,경주식당,,경상북도 영천시 고경면 덕정리 517 ,054-334-4667,,
38,일반음식점,맥시칸통닭,경상북도 영천시 완산중앙2길 17 (완산동),경상북도 영천시 완산동 1077-14 ,054-334-2952,35.96274400,128.93618107
39,일반음식점,대한식육식당,경상북도 영천시 장수로 51 (화룡동),경상북도 영천시 화룡동 275-2 ,054-337-3568,35.96536966,128.91856651
40,일반음식점,희락식당,경상북도 영천시 완산중앙1길 6 (완산동),경상북도 영천시 완산동 1075-13 ,054-336-8048,35.96275905,128.93536584
41,일반음식점,역전식육식당,경상북도 영천시 통운길 4 (완산동),경상북도 영천시 완산동 1084-14 ,,35.96126093,128.93600390
42,일반음식점,원두막식당,경상북도 영천시 역전로 11 (완산동),경상북도 영천시 완산동 1075-21 ,054-335-3883,35.96277642,128.93519695
43,일반음식점,장수통닭,경상북도 영천시 금호읍 금호시장길 44-2,경상북도 영천시 금호읍 교대리 167-21 ,054-336-5777,35.93195084,128.87323481
44,일반음식점,자양식당,경상북도 영천시 자양면 포은로 1626,경상북도 영천시 자양면 성곡리 560 ,054-331-0901,36.07826526,129.01746264
45,일반음식점,영천댐식당,경상북도 영천시 자양면 포은로 1624,경상북도 영천시 자양면 성곡리 161 ,054-334-4295,36.07830632,129.01731937
46,일반음식점,남일횟집,경상북도 영천시 자양면 포은로 1631,경상북도 영천시 자양면 성곡리 550 ,054-334-2733,36.07856071,129.01789647
47,일반음식점,영화식당,경상북도 영천시 자양면 포은로 1628,경상북도 영천시 자양면 성곡리 570 ,054-336-4270,36.07812118,129.01762736
48,일반음식점,대영식당,경상북도 영천시 고경면 호국로 1073-1,경상북도 영천시 고경면 해선리 319-11 ,054-333-6799,36.00129438,129.04680107
49,일반음식점,구룡포대게과메기해산물,경상북도 영천시 옛군청3길 27 (문내동),경상북도 영천시 문내동 167 ,054-334-0303,35.96853165,128.93167218
50,일반음식점,삼거리 기사식당,경상북도 영천시 한방로 149 (작산동),경상북도 영천시 작산동 305-3 ,054-332-8014,35.93924391,128.94424202
51,일반음식점,바로커양념통닭,경상북도 영천시 금호읍 금호로 112-1,경상북도 영천시 금호읍 교대리 164-4 ,,35.93141567,128.87393253
52,일반음식점,미정 은해사 봄봄,경상북도 영천시 청통면 청통로 894-31,경상북도 영천시 청통면 치일리 396-1 ,054-336-8010,,
53,일반음식점,용궁식당,경상북도 영천시 북안면 운북로 2034,경상북도 영천시 북안면 임포리 328-1 ,,35.91887380,129.00888516
54,일반음식점,스타식당,경상북도 영천시 금완로 47 (완산동),경상북도 영천시 완산동 1100-1 ,054-336-3260,35.96054045,128.93358355
55,일반음식점,신별천지,경상북도 영천시 최무선로 54 (오수동),경상북도 영천시 오수동 316-1 ,,35.95570769,128.91018117
56,일반음식점,영양식육식당,경상북도 영천시 시장로 43 (완산동),경상북도 영천시 완산동 1074-16 ,054-334-2670,35.96355729,128.93491350
57,일반음식점,신원통닭,"경상북도 영천시 신녕면 본관시장길 13, C동 8호",경상북도 영천시 신녕면 화성리 972-4 ,054-337-2120,36.04121324,128.78731351
58,일반음식점,중앙식당,경상북도 영천시 화산면 장수로 917-3,경상북도 영천시 화산면 유성리 522-8 ,,36.01817035,128.85683686
59,일반음식점,도남식당,경상북도 영천시 봉동1길 29-47 (봉동),경상북도 영천시 봉동 650 ,054-332-0460,35.93122713,128.94408887
60,일반음식점,고경식육점,경상북도 영천시 시장4길 52 (완산동),경상북도 영천시 완산동 982-3 ,054-331-3442,35.96426957,128.93856849
61,일반음식점,새영주기사식당,경상북도 영천시 운동장로 3 (교촌동),경상북도 영천시 교촌동 265-10 ,054-334-4807,35.96338828,128.92328028
62,일반음식점,순복이보양탕,경상북도 영천시 금완로 53 (완산동),경상북도 영천시 완산동 1118-6 ,,35.96049186,128.93431596
63,일반음식점,무지개식당,,경상북도 영천시 완산동 1104-5 ,054-331-6166,,
64,일반음식점,대장안생오리(영천점),경상북도 영천시 금호읍 금호로 306,경상북도 영천시 금호읍 신월리 254 ,054-333-1588,35.93834949,128.89347605
65,일반음식점,팔공식당,경상북도 영천시 신녕면 장수로 1753,경상북도 영천시 신녕면 화성리 752-2 ,054-331-1662,36.04803934,128.78640535
66,일반음식점,한성식당,경상북도 영천시 신녕면 장수로 1666,경상북도 영천시 신녕면 완전리 849-20 ,054-332-0553,36.04045684,128.78854079
67,일반음식점,낙원루,경상북도 영천시 임고면 운주로 6,경상북도 영천시 임고면 양항리 456-7 ,,36.01635730,128.97508371
68,일반음식점,월성식당,,경상북도 영천시 고경면 덕정리 523 ,054-336-2034,,
69,일반음식점,창성식당,경상북도 영천시 고경면 용담로 1379-11,경상북도 영천시 고경면 덕정리 363-2 ,054-333-1888,35.92657778,129.11530316
